time,value
1982-12-01,370.5367
1983-01-01,370.5367
1983-02-01,370.7071
1983-03-01,370.7071
1983-04-01,370.7071
1983-05-01,368.7544
1983-06-01,368.7544
1983-07-01,368.7544
1983-08-01,368.8485
1983-09-01,368.8485
1983-10-01,368.8485
1983-11-01,367.7614
1983-12-01,367.7614
1984-01-01,367.7614
1984-02-01,367.2597
1984-03-01,367.2597
1984-04-01,367.2597
1984-05-01,366.2852
1984-06-01,366.2852
1984-07-01,366.2852
1984-08-01,365.5219
1984-09-01,365.5219
1984-10-01,365.5219
1984-11-01,365.3514
1984-12-01,365.3514
1985-01-01,365.3514
1985-02-01,366.071
1985-03-01,366.071
1985-04-01,366.071
1985-05-01,367.3834
1985-06-01,367.3834
1985-07-01,367.3834
1985-08-01,367.7762
1985-09-01,367.7762
1985-10-01,367.7762
1985-11-01,370.3418
1985-12-01,370.3418
1986-01-01,370.3418
1986-02-01,368.3787
1986-03-01,368.3787
1986-04-01,368.3787
1986-05-01,367.8451
1986-06-01,367.8451
1986-07-01,367.8451
1986-08-01,365.2795
1986-09-01,365.2795
1986-10-01,365.2795
1986-11-01,361.4889
1986-12-01,361.4889
1987-01-01,361.4889
1987-02-01,357.0825
1987-03-01,357.0825
1987-04-01,357.0825
1987-05-01,355.2454
1987-06-01,355.2454
1987-07-01,355.2454
1987-08-01,353.9189
1987-09-01,353.9189
1987-10-01,353.9189
1987-11-01,354.3116
1987-12-01,354.3116
1988-01-01,354.3116
1988-02-01,353.8581
1988-03-01,353.8581
1988-04-01,353.8581
1988-05-01,350.9998
1988-06-01,350.9998
1988-07-01,350.9998
1988-08-01,351.8839
1988-09-01,351.8839
1988-10-01,351.8839
1988-11-01,352.4538
1988-12-01,352.4538
1989-01-01,352.4538
1989-02-01,354.568
1989-03-01,354.568
1989-04-01,354.568
1989-05-01,354.1064
1989-06-01,354.1064
1989-07-01,354.1064
1989-08-01,359.4999
1989-09-01,359.4999
1989-10-01,359.4999
1989-11-01,361.3785
1989-12-01,361.3785
1990-01-01,361.3785
1990-02-01,361.4074
1990-03-01,361.4074
1990-04-01,361.4074
1990-05-01,359.9008
1990-06-01,359.9008
1990-07-01,359.9008
1990-08-01,359.8645
1990-09-01,359.8645
1990-10-01,359.8645
1990-11-01,356.3681
1990-12-01,356.3681
1991-01-01,356.3681
1991-02-01,356.5163
1991-03-01,356.5163
1991-04-01,356.5163
1991-05-01,354.5562
1991-06-01,354.5562
1991-07-01,354.5562
1991-08-01,352.5583
1991-09-01,352.5583
1991-10-01,352.5583
1991-11-01,353.3779
1991-12-01,353.3779
1992-01-01,353.3779
1992-02-01,354.8719
1992-03-01,354.8719
1992-04-01,354.8719
1992-05-01,355.0342
1992-06-01,355.0342
1992-07-01,355.0342
1992-08-01,355.6596
1992-09-01,355.6596
1992-10-01,355.6596
1992-11-01,357.2441
1992-12-01,357.2441
1993-01-01,357.2441
1993-02-01,356.9625
1993-03-01,356.9625
1993-04-01,356.9625
1993-05-01,358.5194
1993-06-01,358.3599
1993-07-01,358.3599
1993-08-01,358.3599
1993-09-01,357.7354
1993-10-01,357.7354
1993-11-01,357.7354
1993-12-01,355.4627
1994-01-01,355.4627
1994-02-01,355.4627
1994-03-01,354.4237
1994-04-01,354.4237
1994-05-01,354.4237
1994-06-01,352.8563
1994-07-01,352.8563
1994-08-01,352.8563
1994-09-01,352.0363
1994-10-01,352.0363
1994-11-01,352.0363
1994-12-01,347.4308
1995-01-01,347.4308
1995-02-01,347.4308
1995-03-01,344.1425
1995-04-01,344.1425
1995-05-01,344.1425
1995-06-01,342.2939
1995-07-01,342.2939
1995-08-01,342.2939
1995-09-01,340.5243
1995-10-01,340.5243
1995-11-01,340.5243
1995-12-01,335.0558
1996-01-01,335.0558
1996-02-01,335.0558
1996-03-01,330.3517
1996-04-01,330.3517
1996-05-01,330.3517
1996-06-01,324.0632
1996-07-01,324.0632
1996-08-01,324.0632
1996-09-01,319.8155
1996-10-01,319.8155
1996-11-01,319.8155
1996-12-01,315.9797
1997-01-01,315.9797
1997-02-01,315.9797
1997-03-01,313.5934
1997-04-01,313.5934
1997-05-01,313.5934
1997-06-01,310.9045
1997-07-01,310.9045
1997-08-01,310.9045
1997-09-01,310.5452
1997-10-01,310.5452
1997-11-01,310.5452
1997-12-01,309.3223
1998-01-01,309.3223
1998-02-01,309.3223
1998-03-01,306.9102
1998-04-01,306.9102
1998-05-01,306.9102
1998-06-01,306.4728
1998-07-01,306.4728
1998-08-01,306.4728
1998-09-01,304.8003
1998-10-01,304.8003
1998-11-01,304.8003
1998-12-01,302.6026
1999-01-01,302.6026
1999-02-01,302.6026
1999-03-01,298.7621
1999-04-01,298.7621
1999-05-01,298.7621
1999-06-01,298.7654
1999-07-01,298.7654
1999-08-01,298.7654
1999-09-01,298.4051
1999-10-01,298.4051
1999-11-01,298.4051
1999-12-01,297.4105
2000-01-01,297.4105
2000-02-01,297.4105
2000-03-01,291.7595
2000-04-01,291.7595
2000-05-01,291.7595
2000-06-01,289.3727
2000-07-01,289.3727
2000-08-01,289.3727
2000-09-01,288.9061
2000-10-01,288.9061
2000-11-01,288.9061
2000-12-01,284.5788
2001-01-01,284.5788
2001-02-01,284.5788
2001-03-01,282.9484
2001-04-01,282.9484
