time,value
1993-05-01,91.5688
1993-06-01,90.0612
1993-07-01,89.8503
1993-08-01,87.3029
1993-09-01,84.1827
1993-10-01,85.5003
1993-11-01,82.0623
1993-12-01,84.5996
1994-01-01,83.7054
1994-02-01,96.8171
1994-03-01,100.7337
1994-04-01,100.1071
1994-05-01,99.1027
1994-06-01,98.2578
1994-07-01,95.9124
1994-08-01,92.923
1994-09-01,88.5595
1994-10-01,91.5149
1994-11-01,84.0378
1994-12-01,90.1605
1995-01-01,94.1707
1995-02-01,94.9275
1995-03-01,101.9107
1995-04-01,97.3303
1995-05-01,101.4768
1995-06-01,98.4891
1995-07-01,100.8035
1995-08-01,93.4269
1995-09-01,92.515
1995-10-01,95.5539
1995-11-01,89.1249
1995-12-01,91.988
1996-01-01,92.5989
1996-02-01,96.5938
1996-03-01,100.6808
1996-04-01,100.8701
1996-05-01,104.3196
1996-06-01,101.7898
1996-07-01,102.3675
1996-08-01,91.7204
1996-09-01,88.4749
1996-10-01,91.453
1996-11-01,85.7103
1996-12-01,90.0695
1997-01-01,86.9557
1997-02-01,95.0197
1997-03-01,99.234
1997-04-01,105.4116
1997-05-01,105.6762
1997-06-01,102.7351
1997-07-01,102.0829
1997-08-01,102.7028
1997-09-01,102.2943
1997-10-01,99.4694
1997-11-01,97.6374
1997-12-01,100.6572
1998-01-01,98.5673
1998-02-01,104.3051
1998-03-01,99.2567
1998-04-01,98.588
1998-05-01,106.427
1998-06-01,108.7874
1998-07-01,111.9089
1998-08-01,111.4097
1998-09-01,105.2228
1998-10-01,100.0494
1998-11-01,106.1304
1998-12-01,107.3993
1999-01-01,107.6155
1999-02-01,102.1953
1999-03-01,112.0522
1999-04-01,112.0541
1999-05-01,109.5917
1999-06-01,104.2569
1999-07-01,104.1803
1999-08-01,102.3511
1999-09-01,102.6263
1999-10-01,96.0417
1999-11-01,101.6936
1999-12-01,97.794
2000-01-01,101.9262
2000-02-01,101.7922
2000-03-01,108.2722
2000-04-01,114.6526
2000-05-01,105.9228
2000-06-01,105.097
2000-07-01,95.5703
2000-08-01,96.7775
2000-09-01,100.8759
2000-10-01,92.3654
2000-11-01,94.5391
2000-12-01,102.3634
2001-01-01,109.1922
2001-02-01,103.4361
2001-03-01,102.3574
2001-04-01,109.3427
2001-05-01,103.7433
2001-06-01,105.7942
2001-07-01,109.6984
2001-08-01,99.4028
2001-09-01,106.7057
2001-10-01,102.6331
2001-11-01,94.0418
2001-12-01,108.8809
2002-01-01,106.9306
2002-02-01,104.8893
2002-03-01,107.7652
2002-04-01,123.9126
2002-05-01,124.7
2002-06-01,125.8857
2002-07-01,116.5709
2002-08-01,114.2231
2002-09-01,115.7536
2002-10-01,104.9405
2002-11-01,108.2347
2002-12-01,107.463
2003-01-01,114.8282
2003-02-01,112.7394
2003-03-01,115.3527
2003-04-01,123.6664
2003-05-01,115.2452
2003-06-01,120.0874
2003-07-01,120.6739
2003-08-01,114.4032
2003-09-01,103.8548
2003-10-01,115.0162
2003-11-01,109.0331
2003-12-01,116.116
2004-01-01,112.2982
2004-02-01,112.4415
2004-03-01,105.4003
2004-04-01,120.3767
2004-05-01,105.8862
2004-06-01,108.1808
2004-07-01,112.6263
2004-08-01,114.4585
2004-09-01,114.0188
2004-10-01,102.8574
2004-11-01,96.2355
2004-12-01,113.2154
2005-01-01,110.0228
2005-02-01,113.3899
2005-03-01,105.3532
2005-04-01,113.7342
2005-05-01,106.9784
2005-06-01,103.4592
2005-07-01,114.2558
2005-08-01,113.5821
2005-09-01,108.637
2005-10-01,110.7067
2005-11-01,106.8409
2005-12-01,111.9264
2006-01-01,114.5916
2006-02-01,115.1831
2006-03-01,109.3497
2006-04-01,108.3989
2006-05-01,106.6314
2006-06-01,112.6163
2006-07-01,120.0096
2006-08-01,113.4494
2006-09-01,108.6342
2006-10-01,117.1336
2006-11-01,105.6266
2006-12-01,109.2734
2007-01-01,119.9142
2007-02-01,116.1614
2007-03-01,106.068
2007-04-01,114.6336
2007-05-01,107.2406
2007-06-01,110.8967
2007-07-01,114.7398
2007-08-01,114.9585
2007-09-01,111.3626
2007-10-01,110.9494
2007-11-01,114.013
2007-12-01,116.6406
2008-01-01,113.0142
2008-02-01,110.9338
2008-03-01,112.5059
2008-04-01,108.099
2008-05-01,113.6584
2008-06-01,113.8828
2008-07-01,110.4691
2008-08-01,109.0465
2008-09-01,110.8872
2008-10-01,113.1955
2008-11-01,116.279
2008-12-01,114.3044
2009-01-01,99.9868
2009-02-01,101.6599
2009-03-01,101.3752
2009-04-01,110.0853
2009-05-01,113.7779
2009-06-01,107.5884
2009-07-01,114.7603
2009-08-01,108.1636
2009-09-01,114.4643
2009-10-01,112.3759
2009-11-01,113.0526
2009-12-01,112.7743
2010-01-01,109.7015
2010-02-01,106.7744
2010-03-01,114.6327
2010-04-01,112.1968
2010-05-01,108.8615
2010-06-01,115.0211
2010-07-01,115.4718
2010-08-01,115.8374
2010-09-01,115.1589
2010-10-01,107.0709
2010-11-01,113.5432
2010-12-01,103.2927
2011-01-01,107.8348
2011-02-01,110.374
2011-03-01,110.4689
2011-04-01,107.2305
2011-05-01,105.82
2011-06-01,108.9298
2011-07-01,110.6359
2011-08-01,109.9492
2011-09-01,107.726
2011-10-01,109.3621
2011-11-01,108.1349
2011-12-01,101.6487
2012-01-01,101.2921
2012-02-01,110.4128
2012-03-01,110.0372
2012-04-01,108.9533
2012-05-01,109.4506
2012-06-01,111.0178
2012-07-01,110.9699
2012-08-01,111.0426
2012-09-01,109.1952
2012-10-01,102.4283
2012-11-01,108.2803
2012-12-01,105.925
2013-01-01,103.3978
2013-02-01,112.5153
2013-03-01,112.1432
2013-04-01,103.9961
2013-05-01,111.2168
2013-06-01,110.6641
2013-07-01,112.4037
2013-08-01,112.6693
2013-09-01,110.6772
2013-10-01,103.856
2013-11-01,108.7635
2013-12-01,111.4822
2014-01-01,107.0266
2014-02-01,107.9264
2014-03-01,112.6468
2014-04-01,107.7066
2014-05-01,112.4972
2014-06-01,111.9445
2014-07-01,113.4788
2014-08-01,113.9283
2014-09-01,112.1517
2014-10-01,103.7903
2014-11-01,113.1048
2014-12-01,114.635
2015-01-01,111.5958
2015-02-01,111.32
2015-03-01,102.7969
2015-04-01,107.1034
2015-05-01,106.9082
2015-06-01,106.7636
2015-07-01,107.6125
2015-08-01,106.4958
2015-09-01,106.3308
2015-10-01,104.8025
2015-11-01,105.4943
2015-12-01,107.1498
2016-01-01,107.2789
2016-02-01,103.4547
2016-03-01,101.7271
2016-04-01,106.923
2016-05-01,106.372
2016-06-01,106.8796
2016-07-01,106.8575
2016-08-01,108.0285
2016-09-01,107.3085
2016-10-01,106.5374
2016-11-01,106.5324
2016-12-01,106.8843
2017-01-01,103.9135
2017-02-01,106.4861
2017-03-01,108.751
2017-04-01,104.9328
2017-05-01,107.2059
2017-06-01,108.831
2017-07-01,108.8215
2017-08-01,108.897
2017-09-01,107.7296
2017-10-01,107.2544
2017-11-01,107.5385
2017-12-01,108.4762
2018-01-01,108.7789
2018-02-01,108.1125
2018-03-01,104.4263
2018-04-01,101.142
2018-05-01,104.109
2018-06-01,108.9482
2018-07-01,109.0423
2018-08-01,109.1796
2018-09-01,107.6191
2018-10-01,105.1791
2018-11-01,108.2686
2018-12-01,107.0767
2019-01-01,108.5591
2019-02-01,108.5447
2019-03-01,107.6461
2019-04-01,107.6475
2019-05-01,103.5969
2019-06-01,107.7165
2019-07-01,108.9934
2019-08-01,109.0459
2019-09-01,104.4804
2019-10-01,105.3597
2019-11-01,104.9969
2019-12-01,102.9195
2020-01-01,104.6592
2020-02-01,101.9066
2020-03-01,105.0022
2020-04-01,104.9376
2020-05-01,98.1477
2020-06-01,105.0001
2020-07-01,104.636
2020-08-01,105.2963
2020-09-01,98.2462
2020-10-01,104.8035
2020-11-01,100.1408
2020-12-01,103.0633
2021-01-01,103.5614
2021-02-01,101.9175
2021-03-01,103.64
2021-04-01,102.8781
