time,value
1982-12-01,99.0544
1983-01-01,98.7852
1983-02-01,98.7852
1983-03-01,98.7852
1983-04-01,98.0304
1983-05-01,98.0304
1983-06-01,98.0304
1983-07-01,97.347
1983-08-01,97.347
1983-09-01,97.347
1983-10-01,101.0611
1983-11-01,101.0611
1983-12-01,101.0611
1984-01-01,100.2918
1984-02-01,100.2918
1984-03-01,100.2918
1984-04-01,99.966
1984-05-01,99.966
1984-06-01,99.966
1984-07-01,99.1858
1984-08-01,99.1858
1984-09-01,99.1858
1984-10-01,102.5982
1984-11-01,102.5982
1984-12-01,102.5982
1985-01-01,101.6832
1985-02-01,101.6832
1985-03-01,101.6832
1985-04-01,100.64
1985-05-01,100.64
1985-06-01,100.64
1985-07-01,99.9664
1985-08-01,99.9664
1985-09-01,99.9664
1985-10-01,103.4157
1985-11-01,103.4157
1985-12-01,103.4157
1986-01-01,102.9514
1986-02-01,102.9514
1986-03-01,102.9514
1986-04-01,102.4087
1986-05-01,102.4087
1986-06-01,102.4087
1986-07-01,101.9314
1986-08-01,101.9314
1986-09-01,101.9314
1986-10-01,105.3946
1986-11-01,105.3946
1986-12-01,105.3946
1987-01-01,105.1585
1987-02-01,105.1585
1987-03-01,105.1585
1987-04-01,104.6595
1987-05-01,104.6595
1987-06-01,104.6595
1987-07-01,104.4334
1987-08-01,104.4334
1987-09-01,104.4334
1987-10-01,108.3129
1987-11-01,108.3129
1987-12-01,108.3129
1988-01-01,107.6645
1988-02-01,107.6645
1988-03-01,107.6645
1988-04-01,107.2499
1988-05-01,107.2499
1988-06-01,107.2499
1988-07-01,106.7171
1988-08-01,106.7171
1988-09-01,106.7171
1988-10-01,109.4783
1988-11-01,109.4783
1988-12-01,109.4783
1989-01-01,108.8646
1989-02-01,108.8646
1989-03-01,108.8646
1989-04-01,108.4686
1989-05-01,108.4686
1989-06-01,108.4686
1989-07-01,107.4751
1989-08-01,107.4751
1989-09-01,107.4751
1989-10-01,110.2407
1989-11-01,110.2407
1989-12-01,110.2407
1990-01-01,109.7745
1990-02-01,109.7745
1990-03-01,109.7745
1990-04-01,109.7875
1990-05-01,109.7875
1990-06-01,109.7875
1990-07-01,108.8723
1990-08-01,108.8723
1990-09-01,108.8723
1990-10-01,111.256
1990-11-01,111.256
1990-12-01,111.256
1991-01-01,110.6698
1991-02-01,110.6698
1991-03-01,110.6698
1991-04-01,110.8485
1991-05-01,110.8485
1991-06-01,110.8485
1991-07-01,110.8512
1991-08-01,110.8512
1991-09-01,110.8512
1991-10-01,110.7291
1991-11-01,110.7291
1991-12-01,110.7291
1992-01-01,113.132
1992-02-01,113.132
1992-03-01,113.132
1992-04-01,113.3363
1992-05-01,113.3363
1992-06-01,113.3363
1992-07-01,113.3116
1992-08-01,113.3116
1992-09-01,113.3116
1992-10-01,113.8021
1992-11-01,113.8021
1992-12-01,113.8021
1993-01-01,115.7747
1993-02-01,115.7747
1993-03-01,115.7747
1993-04-01,115.6723
1993-05-01,115.6723
1993-06-01,115.6723
1993-07-01,116.6258
1993-08-01,116.6258
1993-09-01,116.6258
1993-10-01,117.5694
1993-11-01,117.5694
1993-12-01,117.5694
1994-01-01,118.0083
1994-02-01,118.0083
1994-03-01,118.0083
1994-04-01,118.2035
1994-05-01,118.2035
1994-06-01,118.2035
1994-07-01,118.0684
1994-08-01,118.0684
1994-09-01,118.0684
1994-10-01,118.0858
1994-11-01,118.0858
1994-12-01,118.0858
1995-01-01,117.3876
1995-02-01,117.3876
1995-03-01,117.3876
1995-04-01,117.0032
1995-05-01,117.0032
1995-06-01,117.0032
