time,value
2000-05-01,91.9385
2000-06-01,93.8936
2000-07-01,93.8936
2000-08-01,93.8936
2000-09-01,93.1869
2000-10-01,93.1869
2000-11-01,93.1869
2000-12-01,93.4897
2001-01-01,93.4897
2001-02-01,93.4897
2001-03-01,93.4828
2001-04-01,93.4828
2001-05-01,93.4828
2001-06-01,95.4024
2001-07-01,95.4024
2001-08-01,95.4024
2001-09-01,97.7372
2001-10-01,97.7372
2001-11-01,97.7372
2001-12-01,97.6806
2002-01-01,97.6806
2002-02-01,97.6806
2002-03-01,98.8335
2002-04-01,98.8335
2002-05-01,98.8335
2002-06-01,99.0446
2002-07-01,99.0446
2002-08-01,99.0446
2002-09-01,100.0953
2002-10-01,100.0953
2002-11-01,100.0953
2002-12-01,100.4209
2003-01-01,100.4209
2003-02-01,100.4209
2003-03-01,100.5028
2003-04-01,100.5028
2003-05-01,100.5028
2003-06-01,100.7392
2003-07-01,100.7392
2003-08-01,100.7392
2003-09-01,101.5439
2003-10-01,101.5439
2003-11-01,101.5439
2003-12-01,101.8361
2004-01-01,101.8361
2004-02-01,101.8361
2004-03-01,101.8902
2004-04-01,101.8902
2004-05-01,101.8902
2004-06-01,103.2181
2004-07-01,103.2181
2004-08-01,103.2181
2004-09-01,103.2058
2004-10-01,103.2058
2004-11-01,103.2058
2004-12-01,102.814
2005-01-01,102.814
2005-02-01,102.814
2005-03-01,103.2165
2005-04-01,103.2165
2005-05-01,103.2165
2005-06-01,103.3564
2005-07-01,103.3564
2005-08-01,103.3564
2005-09-01,103.554
2005-10-01,103.554
2005-11-01,103.554
2005-12-01,103.0684
2006-01-01,103.0684
2006-02-01,103.0684
2006-03-01,103.2767
2006-04-01,103.2767
2006-05-01,103.2767
2006-06-01,103.2501
2006-07-01,103.2501
2006-08-01,103.2501
2006-09-01,102.9724
2006-10-01,102.9724
2006-11-01,102.9724
2006-12-01,102.3839
2007-01-01,102.3839
2007-02-01,102.3839
2007-03-01,102.4434
2007-04-01,102.4434
2007-05-01,102.4434
2007-06-01,103.2856
2007-07-01,103.2856
2007-08-01,103.2856
2007-09-01,103.33
2007-10-01,103.33
2007-11-01,103.33
2007-12-01,104.6775
2008-01-01,103.9486
2008-02-01,103.7966
2008-03-01,103.7193
2008-04-01,104.583
2008-05-01,105.2574
2008-06-01,105.2651
2008-07-01,105.3257
2008-08-01,103.9645
2008-09-01,104.0587
2008-10-01,103.7301
2008-11-01,103.5535
2008-12-01,105.4699
2009-01-01,103.9709
2009-02-01,105.1303
2009-03-01,105.6779
2009-04-01,104.5002
2009-05-01,104.6579
2009-06-01,105.2895
2009-07-01,105.3764
2009-08-01,105.6213
2009-09-01,105.7336
2009-10-01,104.485
2009-11-01,104.3835
2009-12-01,105.6037
2010-01-01,105.623
2010-02-01,105.5949
2010-03-01,105.5936
2010-04-01,104.7935
2010-05-01,105.5526
2010-06-01,105.5814
2010-07-01,105.7466
2010-08-01,105.9474
2010-09-01,105.9232
2010-10-01,104.9394
2010-11-01,105.7511
2010-12-01,105.4289
2011-01-01,105.1567
2011-02-01,105.1604
2011-03-01,103.3415
2011-04-01,104.2097
2011-05-01,104.0987
2011-06-01,104.0749
2011-07-01,104.0716
2011-08-01,104.4353
2011-09-01,104.4725
2011-10-01,104.0967
2011-11-01,103.6201
2011-12-01,104.0635
2012-01-01,104.1398
2012-02-01,104.1112
2012-03-01,104.0952
2012-04-01,104.0641
2012-05-01,104.0602
2012-06-01,103.9621
2012-07-01,104.037
2012-08-01,103.9898
2012-09-01,103.9946
2012-10-01,103.9726
2012-11-01,103.9609
2012-12-01,103.9421
2013-01-01,103.9941
2013-02-01,103.8619
2013-03-01,103.814
2013-04-01,103.8925
2013-05-01,103.8757
2013-06-01,103.8501
2013-07-01,102.9984
2013-08-01,102.9328
2013-09-01,103.4652
2013-10-01,100.0179
2013-11-01,104.8984
2013-12-01,104.8313
2014-01-01,104.9327
2014-02-01,104.8399
2014-03-01,104.8811
2014-04-01,104.8891
2014-05-01,104.8547
2014-06-01,104.8277
2014-07-01,104.8778
2014-08-01,104.8674
2014-09-01,104.8371
2014-10-01,104.8558
2014-11-01,104.8169
2014-12-01,104.8857
2015-01-01,104.8843
2015-02-01,104.8323
2015-03-01,104.7555
2015-04-01,101.569
2015-05-01,104.5188
2015-06-01,105.5056
2015-07-01,105.5056
2015-08-01,105.2205
2015-09-01,103.4592
2015-10-01,103.4932
2015-11-01,104.4094
2015-12-01,104.573
2016-01-01,104.6015
2016-02-01,103.5187
2016-03-01,104.5562
2016-04-01,104.4539
2016-05-01,103.1857
2016-06-01,104.396
2016-07-01,102.8038
2016-08-01,103.1926
2016-09-01,103.7807
2016-10-01,104.1549
2016-11-01,104.181
2016-12-01,104.8128
2017-01-01,103.8175
2017-02-01,103.1331
2017-03-01,103.7936
2017-04-01,104.5229
2017-05-01,104.8289
2017-06-01,104.6309
2017-07-01,104.7089
2017-08-01,104.7302
2017-09-01,104.4656
2017-10-01,103.9649
2017-11-01,105.0707
2017-12-01,105.0186
2018-01-01,104.7987
2018-02-01,102.8717
2018-03-01,103.3053
2018-04-01,101.3749
2018-05-01,104.9314
2018-06-01,104.4433
2018-07-01,104.9887
2018-08-01,104.2092
2018-09-01,104.7791
2018-10-01,105.0494
2018-11-01,104.5025
2018-12-01,104.5723
2019-01-01,104.4913
2019-02-01,104.5789
2019-03-01,104.2047
2019-04-01,104.7424
2019-05-01,105.3826
2019-06-01,105.3908
2019-07-01,103.7484
2019-08-01,104.096
2019-09-01,104.0999
2019-10-01,104.0144
2019-11-01,104.8085
2019-12-01,104.2016
2020-01-01,100.7488
2020-02-01,103.7783
2020-03-01,103.6145
2020-04-01,105.1923
2020-05-01,105.7817
2020-06-01,105.8453
2020-07-01,103.9569
2020-08-01,105.6407
2020-09-01,104.4736
2020-10-01,104.9181
2020-11-01,103.6587
2020-12-01,103.326
2021-01-01,102.9006
2021-02-01,101.9025
2021-03-01,101.5269
2021-04-01,101.8312
2021-05-01,102.8986
2021-06-01,102.203
2021-07-01,102.3347
2021-08-01,103.7712
2021-09-01,100.6179
2021-10-01,102.8208
2021-11-01,101.9232
2021-12-01,102.4777
2022-01-01,102.5854
2022-02-01,102.3583
2022-03-01,103.1141
2022-04-01,104.0723
2022-05-01,103.9976
2022-06-01,104.6944
2022-07-01,103.8815
2022-08-01,103.7944
2022-09-01,103.6721
2022-10-01,104.6793
2022-11-01,102.9545
2022-12-01,103.9835
2023-01-01,105.631
2023-02-01,105.0584
2023-03-01,103.8375
2023-04-01,106.1254
2023-05-01,105.3288
2023-06-01,104.4756
2023-07-01,103.3234
2023-08-01,103.5998
2023-09-01,103.8298
2023-10-01,103.8516
2023-11-01,103.5876
2023-12-01,103.8568
2024-01-01,103.211
2024-02-01,103.2625
2024-03-01,102.6547
2024-04-01,103.0127
2024-05-01,102.9361
2024-06-01,102.2815
2024-07-01,101.9871
2024-08-01,101.8601
2024-09-01,102.1088
2024-10-01,101.314
2024-11-01,101.8653
2024-12-01,102.2708
2025-01-01,101.5224
2025-02-01,101.6686
2025-03-01,101.0683
2025-04-01,100.6092
2025-05-01,100.5253
2025-06-01,100.3282
2025-07-01,100.9122
2025-08-01,100.3142
2025-09-01,99.5412
2025-10-01,100.324
2025-11-01,100.179
2025-12-01,100
2026-01-01,100.2065
2026-02-01,99.7807
2026-03-01,99.9036
2026-04-01,100.0438
