time,value
2005-12-01,94.9312
2006-01-01,93.6448
2006-02-01,93.8833
2006-03-01,92.8153
2006-04-01,94.444
2006-05-01,96.5273
2006-06-01,95.1776
2006-07-01,96.8113
2006-08-01,98.5096
2006-09-01,97.4484
2006-10-01,93.8726
2006-11-01,93.818
2006-12-01,93.8385
2007-01-01,93.262
2007-02-01,91.241
2007-03-01,92.0248
2007-04-01,93.9595
2007-05-01,94.8753
2007-06-01,95.2297
2007-07-01,96.1103
2007-08-01,96.035
2007-09-01,96.6095
2007-10-01,98.3986
2007-11-01,103.7343
2007-12-01,106.6492
2008-01-01,106.4543
2008-02-01,103.5692
2008-03-01,106.937
2008-04-01,107.3725
2008-05-01,114.5076
2008-06-01,123.232
2008-07-01,124.1018
2008-08-01,119.9104
2008-09-01,115.6474
2008-10-01,110.6573
2008-11-01,99.749
2008-12-01,92.6925
2009-01-01,85.6565
2009-02-01,85.1416
2009-03-01,82.0814
2009-04-01,82.438
2009-05-01,83.404
2009-06-01,85.8128
2009-07-01,87.5272
2009-08-01,88.9311
2009-09-01,89.1025
2009-10-01,87.8184
2009-11-01,92.2669
2009-12-01,89.6176
2010-01-01,90.4145
2010-02-01,89.9182
2010-03-01,92.3825
2010-04-01,94.2794
2010-05-01,96.5228
2010-06-01,93.5181
2010-07-01,93.2557
2010-08-01,93.0355
2010-09-01,92.7394
2010-10-01,93.0655
2010-11-01,94.2555
2010-12-01,95.9897
2011-01-01,96.9489
2011-02-01,98.9446
2011-03-01,102.9114
2011-04-01,104.5882
2011-05-01,104.7606
2011-06-01,102.0615
2011-07-01,98.7174
2011-08-01,96.9665
2011-09-01,98.5864
2011-10-01,100.2802
2011-11-01,102.6146
2011-12-01,104.9347
2012-01-01,104.3193
2012-02-01,105.6743
2012-03-01,106.2248
2012-04-01,106.2804
2012-05-01,105.1335
2012-06-01,101.6878
2012-07-01,100.6887
2012-08-01,105.1965
2012-09-01,107.0908
2012-10-01,106.781
2012-11-01,105.9981
2012-12-01,104.06
2013-01-01,103.082
2013-02-01,105.5626
2013-03-01,104.3074
2013-04-01,102.3115
2013-05-01,100.46
2013-06-01,101.9569
2013-07-01,102.5805
2013-08-01,103.1666
2013-09-01,104.0003
2013-10-01,102.8395
2013-11-01,101.1476
2013-12-01,101.6411
2014-01-01,101.5691
2014-02-01,101.4222
2014-03-01,100.5221
2014-04-01,100.7652
2014-05-01,100.6983
2014-06-01,99.8574
2014-07-01,100.5245
2014-08-01,99.2601
2014-09-01,98.2476
2014-10-01,97.1236
2014-11-01,94.6482
2014-12-01,91.2777
2015-01-01,85.8598
2015-02-01,81.8084
2015-03-01,86.0206
2015-04-01,85.4778
2015-05-01,87.1646
2015-06-01,87.166
2015-07-01,86.1451
2015-08-01,83.3237
2015-09-01,82.3235
2015-10-01,83.5623
2015-11-01,83.3192
2015-12-01,81.4574
2016-01-01,76.8667
2016-02-01,73.3502
2016-03-01,74.475
2016-04-01,76.7823
2016-05-01,78.7067
2016-06-01,80.377
2016-07-01,79.2407
2016-08-01,78.5615
2016-09-01,80.5849
2016-10-01,81.9151
2016-11-01,82.7939
2016-12-01,83.4432
2017-01-01,86.6208
2017-02-01,87.5585
2017-03-01,86.2752
2017-04-01,85.8296
2017-05-01,85.1124
2017-06-01,84.1719
2017-07-01,82.4882
2017-08-01,84.2816
2017-09-01,85.7889
2017-10-01,87.1769
2017-11-01,88.6781
2017-12-01,88.7364
2018-01-01,89.4758
2018-02-01,90.8379
2018-03-01,88.8151
2018-04-01,90.8558
2018-05-01,94.8884
2018-06-01,96.3288
2018-07-01,95.6021
2018-08-01,95.9028
2018-09-01,96.8708
2018-10-01,97.6246
2018-11-01,100.3909
2018-12-01,97.5879
2019-01-01,94.7252
2019-02-01,94.0084
2019-03-01,95.0063
2019-04-01,95.729
2019-05-01,98.0624
2019-06-01,96.7582
2019-07-01,94.1228
2019-08-01,93.7519
2019-09-01,92.743
2019-10-01,94.2794
2019-11-01,94.1711
2019-12-01,93.0778
2020-01-01,93.5366
2020-02-01,90.4243
2020-03-01,86.6276
2020-04-01,82.482
2020-05-01,80.5013
2020-06-01,80.862
2020-07-01,81.4716
2020-08-01,81.3677
2020-09-01,81.3799
2020-10-01,81.3427
2020-11-01,81.245
2020-12-01,82.1256
2021-01-01,86.2251
2021-02-01,89.5155
2021-03-01,93.4689
2021-04-01,94.3418
2021-05-01,95.1719
2021-06-01,95.482
2021-07-01,98.0135
2021-08-01,96.9913
2021-09-01,96.1372
2021-10-01,99.1812
2021-11-01,102.0971
2021-12-01,100.4178
2022-01-01,99.6803
2022-02-01,104.805
2022-03-01,116.0968
2022-04-01,121.0319
2022-05-01,124.1086
2022-06-01,128.675
2022-07-01,130.3119
2022-08-01,128.0427
2022-09-01,125.2418
2022-10-01,120.8873
2022-11-01,123.967
2022-12-01,114.7819
2023-01-01,113.3665
2023-02-01,112.3043
2023-03-01,111.0202
2023-04-01,109.1724
2023-05-01,105.6126
2023-06-01,104.0545
2023-07-01,103.6675
2023-08-01,108.5456
2023-09-01,111.6807
2023-10-01,113.3048
2023-11-01,110.1488
2023-12-01,106.8135
2024-01-01,105.8416
2024-02-01,107.3601
2024-03-01,108.1071
2024-04-01,108.2486
2024-05-01,107.8032
2024-06-01,106.022
2024-07-01,105.8151
2024-08-01,105.3767
2024-09-01,101.8613
2024-10-01,100.1015
2024-11-01,100.0172
2024-12-01,101.0272
2025-01-01,101.3671
2025-02-01,101.6113
2025-03-01,100.663
2025-04-01,100.5476
2025-05-01,99.504
2025-06-01,97.6484
2025-07-01,98.3361
2025-08-01,97.7803
2025-09-01,97.7788
2025-10-01,97.4171
2025-11-01,98.6222
2025-12-01,100
2026-01-01,98.0782
