time,value
1982-12-01,70.0205
1983-01-01,70.3296
1983-02-01,70.6495
1983-03-01,71.3506
1983-04-01,72.0941
1983-05-01,71.5004
1983-06-01,72.6615
1983-07-01,71.6916
1983-08-01,70.6573
1983-09-01,70.874
1983-10-01,71.7144
1983-11-01,72.0621
1983-12-01,72.0943
1984-01-01,72.8305
1984-02-01,73.3636
1984-03-01,74.4149
1984-04-01,74.9979
1984-05-01,74.6272
1984-06-01,75.351
1984-07-01,74.5358
1984-08-01,74.0754
1984-09-01,73.0468
1984-10-01,73.9406
1984-11-01,74.7561
1984-12-01,74.2736
1985-01-01,75.9324
1985-02-01,76.8588
1985-03-01,77.4038
1985-04-01,77.809
1985-05-01,77.2645
1985-06-01,76.9289
1985-07-01,76.0587
1985-08-01,74.2178
1985-09-01,74.2473
1985-10-01,74.8348
1985-11-01,75.3432
1985-12-01,76.0456
1986-01-01,76.5155
1986-02-01,76.4753
1986-03-01,76.8028
1986-04-01,77.2958
1986-05-01,77.3661
1986-06-01,77.9754
1986-07-01,77.8181
1986-08-01,76.0091
1986-09-01,75.8241
1986-10-01,76.1762
1986-11-01,75.7305
1986-12-01,76.2784
1987-01-01,76.8014
1987-02-01,77.0761
1987-03-01,77.5871
1987-04-01,77.9192
1987-05-01,76.8996
1987-06-01,77.9858
1987-07-01,77.7331
1987-08-01,77.2912
1987-09-01,76.5811
1987-10-01,77.0042
1987-11-01,77.162
1987-12-01,77.2993
1988-01-01,77.9923
1988-02-01,78.8411
1988-03-01,79.7496
1988-04-01,80.1628
1988-05-01,79.7711
1988-06-01,80.1626
1988-07-01,79.2176
1988-08-01,78.0014
1988-09-01,78.0358
1988-10-01,78.595
1988-11-01,78.4991
1988-12-01,78.5277
1989-01-01,78.8832
1989-02-01,79.1546
1989-03-01,79.5246
1989-04-01,80.0219
1989-05-01,80.0299
1989-06-01,80.7953
1989-07-01,80.176
1989-08-01,78.8757
1989-09-01,79.4048
1989-10-01,79.9674
1989-11-01,80.3124
1989-12-01,81.1422
1990-01-01,82.4231
1990-02-01,83.6048
1990-03-01,84.1364
1990-04-01,84.9804
1990-05-01,84.4714
1990-06-01,84.982
1990-07-01,84.8238
1990-08-01,84.2431
1990-09-01,84.3285
1990-10-01,84.6239
1990-11-01,84.1476
1990-12-01,84.4295
1991-01-01,86.366
1991-02-01,87.1715
1991-03-01,88.1071
1991-04-01,88.5088
1991-05-01,87.7803
1991-06-01,89.2657
1991-07-01,88.2424
1991-08-01,87.9896
1991-09-01,87.6754
1991-10-01,87.687
1991-11-01,88.6837
1991-12-01,87.9754
1992-01-01,88.4587
1992-02-01,88.3748
1992-03-01,88.9872
1992-04-01,88.9813
1992-05-01,88.0782
1992-06-01,89.4259
1992-07-01,88.0147
1992-08-01,86.8283
1992-09-01,87.1554
1992-10-01,87.3221
1992-11-01,87.5502
1992-12-01,86.884
1993-01-01,87.8402
1993-02-01,87.906
1993-03-01,88.9228
1993-04-01,88.997
1993-05-01,88.1996
1993-06-01,88.1591
1993-07-01,87.5649
1993-08-01,87.523
1993-09-01,87.0144
1993-10-01,87.0529
1993-11-01,87.0042
1993-12-01,88.0093
1994-01-01,88.0905
1994-02-01,88.3552
1994-03-01,88.1886
1994-04-01,88.0823
1994-05-01,88.0279
1994-06-01,88.8282
1994-07-01,88.7304
1994-08-01,88.2601
1994-09-01,88.6655
1994-10-01,88.4298
1994-11-01,87.5672
1994-12-01,87.5436
1995-01-01,88.8513
1995-02-01,89.7776
1995-03-01,89.2153
1995-04-01,89.2099
1995-05-01,88.8255
1995-06-01,89.7873
1995-07-01,89.6226
1995-08-01,88.7175
1995-09-01,88.7586
1995-10-01,88.2173
1995-11-01,87.4692
1995-12-01,87.413
1996-01-01,88.4119
1996-02-01,88.4773
1996-03-01,89.0091
1996-04-01,89.1006
1996-05-01,88.5411
1996-06-01,89.7204
1996-07-01,88.988
1996-08-01,88.0686
1996-09-01,87.9085
1996-10-01,87.774
1996-11-01,87.1121
1996-12-01,87.5197
1997-01-01,88.606
1997-02-01,88.7783
1997-03-01,88.5381
1997-04-01,88.7919
1997-05-01,88.9701
1997-06-01,89.5884
1997-07-01,89.0809
1997-08-01,88.7725
1997-09-01,89.0086
1997-10-01,88.984
1997-11-01,89.0038
1997-12-01,89.5939
1998-01-01,89.8732
1998-02-01,89.8903
1998-03-01,89.7165
1998-04-01,89.6413
1998-05-01,89.8094
1998-06-01,90.9206
1998-07-01,90.0288
1998-08-01,89.5875
1998-09-01,89.5013
1998-10-01,89.3357
1998-11-01,89.0003
1998-12-01,89.2146
1999-01-01,89.8347
1999-02-01,89.8055
1999-03-01,89.5173
1999-04-01,89.6595
1999-05-01,89.3376
1999-06-01,90.135
1999-07-01,89.9303
1999-08-01,89.359
1999-09-01,89.4987
1999-10-01,89.1966
1999-11-01,89.006
1999-12-01,89.7609
2000-01-01,90.094
2000-02-01,90.9964
2000-03-01,90.6597
2000-04-01,91.2895
2000-05-01,91.4113
2000-06-01,91.9332
2000-07-01,91.2082
2000-08-01,91.4297
2000-09-01,91.1421
2000-10-01,90.841
2000-11-01,91.0005
2000-12-01,90.5667
2001-01-01,91.3931
2001-02-01,91.5454
2001-03-01,91.7212
2001-04-01,92.3002
2001-05-01,92.6214
2001-06-01,94.0901
2001-07-01,93.8004
2001-08-01,93.2977
