time,value
1982-12-01,81.8534
1983-01-01,81.8534
1983-02-01,81.8534
1983-03-01,82.5551
1983-04-01,82.5551
1983-05-01,82.5551
1983-06-01,82.8398
1983-07-01,82.8398
1983-08-01,82.8398
1983-09-01,83.0242
1983-10-01,83.0242
1983-11-01,83.0242
1983-12-01,83.8494
1984-01-01,83.8494
1984-02-01,83.8494
1984-03-01,84.5071
1984-04-01,84.5071
1984-05-01,84.5071
1984-06-01,85.239
1984-07-01,85.239
1984-08-01,85.239
1984-09-01,86.4244
1984-10-01,86.4244
1984-11-01,86.4244
1984-12-01,86.9604
1985-01-01,86.9604
1985-02-01,86.9604
1985-03-01,88.2099
1985-04-01,88.2099
1985-05-01,88.2099
1985-06-01,88.9787
1985-07-01,88.9787
1985-08-01,88.9787
1985-09-01,90.2595
1985-10-01,90.2595
1985-11-01,90.2595
1985-12-01,90.6496
1986-01-01,90.6496
1986-02-01,90.6496
1986-03-01,91.1521
1986-04-01,91.1521
1986-05-01,91.1521
1986-06-01,91.3161
1986-07-01,91.3161
1986-08-01,91.3161
1986-09-01,91.837
1986-10-01,91.837
1986-11-01,91.837
1986-12-01,92.2709
1987-01-01,92.2709
1987-02-01,92.2709
1987-03-01,93.5543
1987-04-01,93.5543
1987-05-01,93.5543
1987-06-01,93.9539
1987-07-01,93.9539
1987-08-01,93.9539
1987-09-01,94.5197
1987-10-01,94.5197
1987-11-01,94.5197
1987-12-01,94.8434
1988-01-01,94.8434
1988-02-01,94.8434
1988-03-01,95.5418
1988-04-01,95.5418
1988-05-01,95.5418
1988-06-01,95.8151
1988-07-01,95.8151
1988-08-01,95.8151
1988-09-01,96.0352
1988-10-01,96.0352
1988-11-01,96.0352
1988-12-01,96.5243
1989-01-01,96.5243
1989-02-01,96.5243
1989-03-01,96.8308
1989-04-01,96.8308
1989-05-01,96.8308
1989-06-01,97.4293
1989-07-01,97.4293
1989-08-01,97.4293
1989-09-01,99.3483
1989-10-01,99.3483
1989-11-01,99.3483
1989-12-01,100.4388
1990-01-01,100.4388
1990-02-01,100.4388
1990-03-01,102.0942
1990-04-01,102.0942
1990-05-01,102.0942
1990-06-01,102.7479
1990-07-01,102.7479
1990-08-01,102.7479
1990-09-01,103.994
1990-10-01,103.994
1990-11-01,103.994
1990-12-01,104.6174
1991-01-01,104.6174
1991-02-01,104.6174
1991-03-01,106.3705
1991-04-01,106.3705
1991-05-01,106.3705
1991-06-01,106.9132
1991-07-01,106.9132
1991-08-01,106.9132
1991-09-01,107.6787
1991-10-01,107.6787
1991-11-01,107.6787
1991-12-01,108.5103
1992-01-01,108.5103
1992-02-01,108.5103
1992-03-01,109.8014
1992-04-01,109.8014
1992-05-01,109.8014
1992-06-01,110.4271
1992-07-01,110.4271
1992-08-01,110.4271
1992-09-01,111.1751
1992-10-01,111.1751
1992-11-01,111.1751
1992-12-01,111.6026
1993-01-01,111.6026
1993-02-01,111.6026
1993-03-01,112.5181
1993-04-01,112.5181
1993-05-01,112.5181
1993-06-01,112.5181
1993-07-01,112.5181
1993-08-01,112.5341
1993-09-01,112.5341
1993-10-01,112.5341
1993-11-01,112.7513
1993-12-01,112.7513
1994-01-01,112.7513
1994-02-01,112.7617
1994-03-01,112.7617
1994-04-01,112.7617
1994-05-01,112.8441
1994-06-01,112.8441
1994-07-01,112.8441
1994-08-01,112.8437
1994-09-01,112.8437
1994-10-01,112.8437
1994-11-01,112.7582
1994-12-01,112.7582
