time,value
1982-12-01,79.3706
1983-01-01,79.3706
1983-02-01,79.3706
1983-03-01,79.7402
1983-04-01,79.7402
1983-05-01,79.7402
1983-06-01,79.6276
1983-07-01,79.6276
1983-08-01,79.6276
1983-09-01,79.8594
1983-10-01,79.8594
1983-11-01,79.8594
1983-12-01,79.8829
1984-01-01,79.8829
1984-02-01,79.8829
1984-03-01,80.2022
1984-04-01,80.2022
1984-05-01,80.2022
1984-06-01,80.3261
1984-07-01,80.3261
1984-08-01,80.3261
1984-09-01,80.7517
1984-10-01,80.7517
1984-11-01,80.7517
1984-12-01,80.9412
1985-01-01,80.9412
1985-02-01,80.9412
1985-03-01,80.9043
1985-04-01,80.9043
1985-05-01,80.9043
1985-06-01,81.4046
1985-07-01,81.4046
1985-08-01,81.4046
1985-09-01,82.1421
1985-10-01,82.1421
1985-11-01,82.1421
1985-12-01,82.1057
1986-01-01,82.1057
1986-02-01,82.1057
1986-03-01,82.1408
1986-04-01,82.1408
1986-05-01,82.1408
1986-06-01,82.6569
1986-07-01,82.6569
1986-08-01,82.6569
1986-09-01,82.8448
1986-10-01,82.8448
1986-11-01,82.8448
1986-12-01,82.9359
1987-01-01,82.9359
1987-02-01,82.9359
1987-03-01,82.9311
1987-04-01,82.9311
1987-05-01,82.9311
1987-06-01,82.8002
1987-07-01,82.8002
1987-08-01,82.8002
1987-09-01,82.5677
1987-10-01,82.5677
1987-11-01,82.5677
1987-12-01,82.6108
1988-01-01,82.6108
1988-02-01,82.6108
1988-03-01,82.045
1988-04-01,82.045
1988-05-01,82.045
1988-06-01,81.9819
1988-07-01,81.9819
1988-08-01,81.9819
1988-09-01,82.1801
1988-10-01,82.1801
1988-11-01,82.1801
1988-12-01,82.8222
1989-01-01,82.8222
1989-02-01,82.8222
1989-03-01,83.4804
1989-04-01,83.4804
1989-05-01,83.4804
1989-06-01,84.1165
1989-07-01,84.1165
1989-08-01,84.1165
1989-09-01,84.5363
1989-10-01,84.5363
1989-11-01,84.5363
1989-12-01,85.0989
1990-01-01,85.0989
1990-02-01,85.0989
1990-03-01,86.1266
1990-04-01,86.1266
1990-05-01,86.1266
1990-06-01,86.8548
1990-07-01,86.8548
1990-08-01,86.8548
