time,value
1982-12-01,65.2595
1983-01-01,66.4054
1983-02-01,66.4054
1983-03-01,66.4121
1983-04-01,66.4746
1983-05-01,67.4529
1983-06-01,67.5367
1983-07-01,67.8453
1983-08-01,67.8453
1983-09-01,67.8591
1983-10-01,67.9218
1983-11-01,67.9218
1983-12-01,67.9861
1984-01-01,68.7888
1984-02-01,68.7888
1984-03-01,68.8205
1984-04-01,68.8635
1984-05-01,68.8635
1984-06-01,68.9066
1984-07-01,69.6063
1984-08-01,69.6063
1984-09-01,69.6109
1984-10-01,70.6547
1984-11-01,70.6547
1984-12-01,70.6985
1985-01-01,71.932
1985-02-01,71.932
1985-03-01,71.9591
1985-04-01,72.0341
1985-05-01,72.0341
1985-06-01,72.0851
1985-07-01,72.572
1985-08-01,72.572
1985-09-01,72.5805
1985-10-01,72.5805
1985-11-01,72.5805
1985-12-01,72.6369
1986-01-01,73.5801
1986-02-01,73.5801
1986-03-01,73.6012
1986-04-01,73.8551
1986-05-01,73.8551
1986-06-01,73.9336
1986-07-01,73.9498
1986-08-01,73.9498
1986-09-01,73.98
1986-10-01,74.1498
1986-11-01,74.1498
1986-12-01,74.2118
1987-01-01,75.1387
1987-02-01,75.1387
1987-03-01,75.153
1987-04-01,75.214
1987-05-01,75.214
1987-06-01,75.2501
1987-07-01,75.6774
1987-08-01,75.6774
1987-09-01,75.6966
1987-10-01,77.537
1987-11-01,77.537
1987-12-01,77.5645
1988-01-01,78.3635
1988-02-01,78.3635
1988-03-01,78.3788
1988-04-01,78.461
1988-05-01,78.461
1988-06-01,78.5158
1988-07-01,78.6195
1988-08-01,78.6195
1988-09-01,78.6278
1988-10-01,78.8553
1988-11-01,78.8553
1988-12-01,78.8979
1989-01-01,79.4594
1989-02-01,79.4594
1989-03-01,79.48
1989-04-01,79.9333
1989-05-01,79.9333
1989-06-01,79.9693
1989-07-01,80.3812
1989-08-01,80.3812
1989-09-01,80.4198
1989-10-01,80.4258
1989-11-01,80.4258
1989-12-01,80.4767
1990-01-01,81.5684
1990-02-01,81.5684
1990-03-01,81.5831
1990-04-01,81.5964
1990-05-01,83.6047
1990-06-01,83.6622
1990-07-01,84.3758
1990-08-01,84.3758
1990-09-01,84.4059
1990-10-01,84.569
1990-11-01,84.569
1990-12-01,84.6955
1991-01-01,85.6497
1991-02-01,85.6497
1991-03-01,85.7342
1991-04-01,87.4854
1991-05-01,87.4854
1991-06-01,87.561
1991-07-01,90.3905
1991-08-01,90.3905
1991-09-01,90.4252
1991-10-01,90.7338
1991-11-01,90.7338
1991-12-01,90.8005
1992-01-01,92.2191
1992-02-01,92.2191
1992-03-01,92.2655
1992-04-01,93.6083
1992-05-01,93.6083
1992-06-01,93.6652
1992-07-01,93.8179
1992-08-01,93.8179
1992-09-01,93.848
1992-10-01,93.938
1992-11-01,95.3729
1992-12-01,95.4463
1993-01-01,96.3189
1993-02-01,96.3189
1993-03-01,96.3528
1993-04-01,96.9806
1993-05-01,96.9806
1993-06-01,96.9806
1993-07-01,97.1544
1993-08-01,97.1549
1993-09-01,97.1549
1993-10-01,97.3026
1993-11-01,97.3028
1993-12-01,97.3028
1994-01-01,98.5604
1994-02-01,98.5623
1994-03-01,98.5623
1994-04-01,98.9054
1994-05-01,98.9058
1994-06-01,98.9058
1994-07-01,98.9768
1994-08-01,98.9792
1994-09-01,98.9792
1994-10-01,99.0017
1994-11-01,99.0044
1994-12-01,99.0044
1995-01-01,99.9237
1995-02-01,100.2169
1995-03-01,100.2169
1995-04-01,100.6517
1995-05-01,100.6532
1995-06-01,100.6532
1995-07-01,100.8589
1995-08-01,100.8709
1995-09-01,100.8709
1995-10-01,100.9953
1995-11-01,100.9956
1995-12-01,100.9956
1996-01-01,102.1578
1996-02-01,102.3498
1996-03-01,102.3498
1996-04-01,102.5318
1996-05-01,102.5322
1996-06-01,102.5322
1996-07-01,102.6467
1996-08-01,102.6469
1996-09-01,102.6469
1996-10-01,102.7287
1996-11-01,102.7286
1996-12-01,102.7286
1997-01-01,103.1102
1997-02-01,103.11
1997-03-01,103.11
1997-04-01,103.4709
1997-05-01,103.4715
1997-06-01,103.4715
1997-07-01,103.4073
1997-08-01,103.4072
1997-09-01,103.4072
1997-10-01,103.3145
1997-11-01,103.3153
1997-12-01,103.3153
1998-01-01,103.6955
1998-02-01,103.6955
1998-03-01,103.6955
1998-04-01,103.7774
1998-05-01,103.7779
1998-06-01,103.7779
1998-07-01,104.0435
1998-08-01,104.0439
1998-09-01,104.0439
1998-10-01,103.7831
1998-11-01,103.7852
1998-12-01,103.7852
1999-01-01,104.1771
1999-02-01,104.1782
1999-03-01,104.1782
1999-04-01,104.2366
1999-05-01,104.2374
1999-06-01,104.2374
1999-07-01,104.2622
1999-08-01,104.2739
1999-09-01,104.2739
1999-10-01,104.3907
1999-11-01,104.3926
1999-12-01,104.3926
2000-01-01,104.7691
2000-02-01,104.7695
2000-03-01,104.7695
2000-04-01,104.7379
2000-05-01,104.7373
2000-06-01,104.7373
2000-07-01,104.7705
2000-08-01,104.7709
2000-09-01,104.7709
2000-10-01,104.826
2000-11-01,104.8259
2000-12-01,104.8259
2001-01-01,105.2068
2001-02-01,105.2151
2001-03-01,105.2151
2001-04-01,105.4592
2001-05-01,105.4717
2001-06-01,105.4717
2001-07-01,105.5221
2001-08-01,105.5256
2001-09-01,105.5256
2001-10-01,105.2821
2001-11-01,105.2831
2001-12-01,105.2831
2002-01-01,105.6406
2002-02-01,105.6528
2002-03-01,105.6528
2002-04-01,105.9121
2002-05-01,105.9152
2002-06-01,105.9152
2002-07-01,105.8977
2002-08-01,105.8972
2002-09-01,105.8972
2002-10-01,105.8133
2002-11-01,105.8135
2002-12-01,105.8135
2003-01-01,106.5225
2003-02-01,106.5341
2003-03-01,106.5341
2003-04-01,106.7952
2003-05-01,106.7953
2003-06-01,106.7953
2003-07-01,106.8722
2003-08-01,106.8723
2003-09-01,106.8723
2003-10-01,106.7917
2003-11-01,106.7934
2003-12-01,106.7934
2004-01-01,107.3085
2004-02-01,107.3093
2004-03-01,107.3093
2004-04-01,107.832
2004-05-01,107.8326
2004-06-01,107.8326
2004-07-01,107.8891
2004-08-01,107.8892
