time,value
1982-12-01,59.0262
1983-01-01,59.0262
1983-02-01,59.6922
1983-03-01,59.6922
1983-04-01,59.6922
1983-05-01,54.6969
1983-06-01,54.6969
1983-07-01,54.6969
1983-08-01,63.9178
1983-09-01,63.9178
1983-10-01,63.9178
1983-11-01,62.7635
1983-12-01,62.7635
1984-01-01,62.7635
1984-02-01,63.1342
1984-03-01,63.1342
1984-04-01,63.1342
1984-05-01,54.6586
1984-06-01,54.6586
1984-07-01,54.6586
1984-08-01,65.0547
1984-09-01,65.0547
1984-10-01,65.0547
1984-11-01,63.9677
1984-12-01,63.9677
1985-01-01,63.9677
1985-02-01,64.787
1985-03-01,64.787
1985-04-01,64.787
1985-05-01,58.3733
1985-06-01,58.3733
1985-07-01,58.3733
1985-08-01,70.5484
1985-09-01,70.5484
1985-10-01,70.5484
1985-11-01,69.7559
1985-12-01,69.7559
1986-01-01,69.7559
1986-02-01,70.7413
1986-03-01,70.7413
1986-04-01,70.7413
1986-05-01,59.7976
1986-06-01,59.7976
1986-07-01,59.7976
1986-08-01,73.0864
1986-09-01,73.0864
1986-10-01,73.0864
1986-11-01,71.4176
1986-12-01,71.4176
1987-01-01,71.4176
1987-02-01,72.1862
1987-03-01,72.1862
1987-04-01,72.1862
1987-05-01,58.2373
1987-06-01,58.2373
1987-07-01,58.2373
1987-08-01,72.593
1987-09-01,72.593
1987-10-01,72.593
1987-11-01,71.0356
1987-12-01,71.0356
1988-01-01,71.0356
1988-02-01,72.213
1988-03-01,72.213
1988-04-01,72.213
1988-05-01,60.576
1988-06-01,60.576
1988-07-01,60.576
1988-08-01,74.6008
1988-09-01,74.6008
1988-10-01,74.6008
1988-11-01,72.508
1988-12-01,72.508
1989-01-01,72.508
1989-02-01,74.4133
1989-03-01,74.4133
1989-04-01,74.4133
1989-05-01,65.0382
1989-06-01,65.0382
1989-07-01,65.0382
1989-08-01,77.7703
1989-09-01,77.7703
1989-10-01,77.7703
1989-11-01,76.0835
1989-12-01,76.0835
1990-01-01,76.0835
1990-02-01,77.7024
1990-03-01,77.7024
1990-04-01,77.7024
1990-05-01,65.4796
1990-06-01,65.4796
1990-07-01,65.4796
1990-08-01,81.9995
1990-09-01,81.9995
1990-10-01,81.9995
1990-11-01,79.9286
1990-12-01,79.9286
1991-01-01,79.9286
1991-02-01,82.8289
1991-03-01,82.8289
1991-04-01,82.8289
1991-05-01,72.2928
1991-06-01,72.2928
1991-07-01,72.2928
1991-08-01,86.5521
1991-09-01,86.5521
1991-10-01,86.5521
1991-11-01,84.9143
1991-12-01,84.9143
1992-01-01,84.9143
1992-02-01,87.2835
1992-03-01,87.2835
1992-04-01,87.2835
1992-05-01,74.8029
1992-06-01,74.8029
1992-07-01,74.8029
1992-08-01,88.8594
1992-09-01,88.8594
1992-10-01,88.8594
1992-11-01,86.7929
1992-12-01,86.7929
1993-01-01,86.7929
1993-02-01,88.8732
1993-03-01,88.8732
1993-04-01,88.8732
1993-05-01,76.4997
1993-06-01,76.4997
1993-07-01,76.4997
1993-08-01,90.8181
1993-09-01,90.8181
1993-10-01,90.8181
1993-11-01,88.2753
1993-12-01,88.2753
1994-01-01,88.2753
1994-02-01,90.4054
1994-03-01,90.4054
1994-04-01,90.4054
1994-05-01,74.071
1994-06-01,74.071
1994-07-01,74.071
1994-08-01,87.9291
1994-09-01,87.9291
1994-10-01,87.9291
1994-11-01,84.8962
1994-12-01,84.8962
1995-01-01,84.8962
1995-02-01,86.7968
1995-03-01,86.7968
1995-04-01,86.7968
1995-05-01,71.6118
1995-06-01,71.6118
1995-07-01,71.6118
1995-08-01,85.0625
1995-09-01,85.0625
1995-10-01,85.0625
1995-11-01,81.0187
1995-12-01,81.0187
1996-01-01,81.0187
1996-02-01,83.2108
1996-03-01,83.2108
1996-04-01,83.2108
1996-05-01,71.6034
1996-06-01,71.6034
1996-07-01,71.6034
1996-08-01,84.4781
1996-09-01,84.4781
1996-10-01,84.4781
1996-11-01,80.6024
1996-12-01,80.6024
1997-01-01,80.6024
1997-02-01,83.8192
1997-03-01,83.8192
1997-04-01,83.8192
1997-05-01,73.4476
1997-06-01,73.4476
1997-07-01,73.4476
1997-08-01,84.4804
1997-09-01,84.4804
1997-10-01,84.4804
1997-11-01,82.8299
1997-12-01,82.8299
1998-01-01,82.8299
1998-02-01,84.1931
1998-03-01,84.1931
1998-04-01,84.1931
1998-05-01,76.2773
1998-06-01,76.2773
1998-07-01,76.2773
1998-08-01,89.8346
1998-09-01,89.8346
1998-10-01,89.8346
1998-11-01,85.7872
1998-12-01,85.7872
1999-01-01,85.7872
1999-02-01,87.1509
1999-03-01,87.1509
1999-04-01,87.1509
1999-05-01,76.8755
1999-06-01,76.8755
1999-07-01,76.8755
1999-08-01,89.2389
1999-09-01,89.2389
1999-10-01,89.2389
1999-11-01,86.8518
1999-12-01,86.8518
2000-01-01,86.8518
2000-02-01,88.2298
2000-03-01,88.2298
2000-04-01,88.2298
2000-05-01,78.836
2000-06-01,78.836
2000-07-01,78.836
2000-08-01,78.836
2000-09-01,78.836
2000-10-01,78.836
2000-11-01,78.836
2000-12-01,78.8883
2001-01-01,78.8883
2001-02-01,78.8883
2001-03-01,82.7255
2001-04-01,82.7255
2001-05-01,82.7255
2001-06-01,82.8098
2001-07-01,82.8098
2001-08-01,82.8098
2001-09-01,83.0709
2001-10-01,83.0709
2001-11-01,83.0709
2001-12-01,83.4983
2002-01-01,83.4983
2002-02-01,83.4983
2002-03-01,83.6202
2002-04-01,83.6202
2002-05-01,83.6202
2002-06-01,83.5236
2002-07-01,83.5236
2002-08-01,83.5236
2002-09-01,83.6875
2002-10-01,83.6875
2002-11-01,83.6875
2002-12-01,83.5145
2003-01-01,83.5145
2003-02-01,83.5145
2003-03-01,84.9357
2003-04-01,84.9357
2003-05-01,84.9357
2003-06-01,85.0773
2003-07-01,85.0773
2003-08-01,85.0773
2003-09-01,84.9081
2003-10-01,84.9081
2003-11-01,84.9081
2003-12-01,85.2265
2004-01-01,85.2265
2004-02-01,85.2265
2004-03-01,84.1272
2004-04-01,84.1272
2004-05-01,84.1272
2004-06-01,83.9927
2004-07-01,83.9927
2004-08-01,83.9927
2004-09-01,84.1146
2004-10-01,84.1146
2004-11-01,84.1146
2004-12-01,84.2276
2005-01-01,84.2276
2005-02-01,84.2276
2005-03-01,84.6855
2005-04-01,84.6855
2005-05-01,84.6855
2005-06-01,85.1359
2005-07-01,85.1359
2005-08-01,85.1359
2005-09-01,85.3459
2005-10-01,85.3459
2005-11-01,85.3459
2005-12-01,85.6338
2006-01-01,85.6338
2006-02-01,85.6338
2006-03-01,85.882
2006-04-01,85.882
2006-05-01,85.882
2006-06-01,86.7714
2006-07-01,86.7714
2006-08-01,86.7714
2006-09-01,87.1523
2006-10-01,87.1523
2006-11-01,87.1523
2006-12-01,87.4785
2007-01-01,87.4785
2007-02-01,87.4785
2007-03-01,88.9433
2007-04-01,88.9433
2007-05-01,88.9433
2007-06-01,89.8243
2007-07-01,89.8243
2007-08-01,89.8243
2007-09-01,90.5981
2007-10-01,90.5981
2007-11-01,90.5981
2007-12-01,91.0499
2008-01-01,91.0499
2008-02-01,92.0443
2008-03-01,93.6905
2008-04-01,94.4776
2008-05-01,95.2827
2008-06-01,95.0484
2008-07-01,95.3019
2008-08-01,95.3342
2008-09-01,95.2352
2008-10-01,95.5064
2008-11-01,95.7021
2008-12-01,95.7278
2009-01-01,95.6288
2009-02-01,95.491
2009-03-01,95.4282
2009-04-01,95.8078
2009-05-01,96.1459
2009-06-01,96.2849
2009-07-01,96.2579
2009-08-01,96.2435
2009-09-01,96.1406
2009-10-01,95.7331
2009-11-01,95.7498
2009-12-01,95.7262
2010-01-01,95.7696
2010-02-01,94.9719
2010-03-01,93.2655
2010-04-01,91.5861
2010-05-01,91.1015
2010-06-01,91.1301
2010-07-01,90.8817
2010-08-01,90.9351
2010-09-01,90.9351
2010-10-01,90.6456
2010-11-01,90.6712
2010-12-01,90.6742
2011-01-01,86.1532
2011-02-01,86.1095
2011-03-01,86.8789
2011-04-01,87.5295
2011-05-01,87.7023
2011-06-01,87.6996
2011-07-01,87.9543
2011-08-01,85.169
2011-09-01,84.7398
2011-10-01,84.445
2011-11-01,84.1583
2011-12-01,81.2024
2012-01-01,79.2608
2012-02-01,79.8874
2012-03-01,80.2917
2012-04-01,81.2258
2012-05-01,81.305
2012-06-01,81.9475
2012-07-01,82.4061
2012-08-01,81.1528
2012-09-01,81.4944
2012-10-01,81.8918
2012-11-01,82.4191
2012-12-01,80.6547
2013-01-01,80.4985
2013-02-01,80.8878
2013-03-01,81.7264
2013-04-01,82.6608
2013-05-01,83.7279
2013-06-01,83.6935
2013-07-01,81.6034
2013-08-01,81.6376
2013-09-01,82.2872
2013-10-01,82.7089
2013-11-01,84.7202
2013-12-01,83.1685
2014-01-01,82.0865
2014-02-01,82.6779
2014-03-01,83.0884
2014-04-01,84.0096
2014-05-01,84.8332
2014-06-01,84.86
2014-07-01,84.8231
2014-08-01,83.9671
2014-09-01,83.4582
2014-10-01,83.6368
2014-11-01,83.6497
2014-12-01,81.1332
2015-01-01,80.5826
2015-02-01,79.5904
2015-03-01,81.1343
2015-04-01,81.5459
2015-05-01,81.7283
2015-06-01,81.68
2015-07-01,81.3969
2015-08-01,81.3498
2015-09-01,80.389
2015-10-01,80.7197
2015-11-01,80.894
2015-12-01,78.7
2016-01-01,78.5835
2016-02-01,80.4296
2016-03-01,81.7757
2016-04-01,86.0724
2016-05-01,88.3563
2016-06-01,90.6774
2016-07-01,92.5128
2016-08-01,89.2339
2016-09-01,87.6792
2016-10-01,86.7212
2016-11-01,81.6408
2016-12-01,80.3956
2017-01-01,81.0553
2017-02-01,83.1719
2017-03-01,88.3998
2017-04-01,90.4844
2017-05-01,91.9123
2017-06-01,94.3117
2017-07-01,95.7807
2017-08-01,94.269
2017-09-01,90.7503
2017-10-01,88.4617
2017-11-01,85.6453
2017-12-01,84.1936
2018-01-01,84.8154
2018-02-01,89.377
2018-03-01,94.0472
2018-04-01,97.232
2018-05-01,97.3908
2018-06-01,101.1041
