time,value
2020-12-01,97.9017
2021-01-01,96.9725
2021-02-01,100.1611
2021-03-01,106.1913
2021-04-01,96.293
2021-05-01,97.5031
2021-06-01,95.9547
2021-07-01,105.3594
2021-08-01,103.8598
2021-09-01,105.1623
2021-10-01,97.8632
2021-11-01,95.3364
2021-12-01,96.7838
2022-01-01,100.4245
2022-02-01,94.7952
2022-03-01,104.2654
2022-04-01,104.0984
2022-05-01,112.2839
2022-06-01,110.6694
2022-07-01,117.1812
2022-08-01,109.9809
2022-09-01,107.0982
2022-10-01,107.3474
2022-11-01,98.4233
2022-12-01,97.2257
2023-01-01,94.5105
2023-02-01,104.5746
2023-03-01,111.4747
2023-04-01,108.2978
2023-05-01,110.201
2023-06-01,109.1441
2023-07-01,110.3532
2023-08-01,112.7175
2023-09-01,115.7477
2023-10-01,111.4817
2023-11-01,87.1969
2023-12-01,97.1849
2024-01-01,103.2348
2024-02-01,110.8368
2024-03-01,108.7613
2024-04-01,113.3985
2024-05-01,111.892
2024-06-01,105.7639
2024-07-01,88.637
2024-08-01,111.579
2024-09-01,114.6756
2024-10-01,112.5067
2024-11-01,103.8464
2024-12-01,98.5315
2025-01-01,103.0116
2025-02-01,100.3288
2025-03-01,112.0258
2025-04-01,106.0083
2025-05-01,101.8427
2025-06-01,112.8882
2025-07-01,109.2845
2025-08-01,103.5392
2025-09-01,100.6078
2025-10-01,100.3941
2025-11-01,100.2356
2025-12-01,100
2026-01-01,98.875
2026-02-01,108.9885
2026-03-01,108.3929
