time,value
1982-12-01,42.357
1983-01-01,42.357
1983-02-01,42.7873
1983-03-01,42.7873
1983-04-01,42.7873
1983-05-01,43.1429
1983-06-01,43.1429
1983-07-01,43.1429
1983-08-01,43.2558
1983-09-01,43.2558
1983-10-01,43.2558
1983-11-01,43.3741
1983-12-01,43.3741
1984-01-01,43.3741
1984-02-01,43.8083
1984-03-01,43.8083
1984-04-01,43.8083
1984-05-01,44.035
1984-06-01,44.035
1984-07-01,44.035
1984-08-01,44.5416
1984-09-01,44.5416
1984-10-01,44.5416
1984-11-01,44.9154
1984-12-01,44.9154
1985-01-01,44.9154
1985-02-01,46.0672
1985-03-01,46.0672
1985-04-01,46.0672
1985-05-01,46.4603
1985-06-01,46.4603
1985-07-01,46.4603
1985-08-01,46.7249
1985-09-01,46.7249
1985-10-01,46.7249
1985-11-01,46.9263
1985-12-01,46.9263
1986-01-01,46.9263
1986-02-01,47.6613
1986-03-01,47.6613
1986-04-01,47.6613
1986-05-01,48.034
1986-06-01,48.034
1986-07-01,48.034
1986-08-01,48.2612
1986-09-01,48.2612
1986-10-01,48.2612
1986-11-01,48.514
1986-12-01,48.514
1987-01-01,48.514
1987-02-01,48.8806
1987-03-01,48.8806
1987-04-01,48.8806
1987-05-01,49.0419
1987-06-01,49.0419
1987-07-01,49.0419
1987-08-01,49.2265
1987-09-01,49.2265
1987-10-01,49.2265
1987-11-01,49.5742
1987-12-01,49.5742
1988-01-01,49.5742
1988-02-01,50.1187
1988-03-01,50.1187
1988-04-01,50.1187
1988-05-01,50.5919
1988-06-01,50.5919
1988-07-01,50.5919
1988-08-01,50.7878
1988-09-01,50.7878
1988-10-01,50.7878
1988-11-01,51.1425
1988-12-01,51.1425
1989-01-01,51.1425
1989-02-01,52.0706
1989-03-01,52.0706
1989-04-01,52.0706
1989-05-01,52.7455
1989-06-01,52.7455
1989-07-01,52.7455
1989-08-01,53.0756
1989-09-01,53.0756
1989-10-01,53.0756
1989-11-01,53.4962
1989-12-01,53.4962
1990-01-01,53.4962
1990-02-01,54.479
1990-03-01,54.479
1990-04-01,54.479
1990-05-01,55.541
1990-06-01,55.541
1990-07-01,55.541
1990-08-01,55.863
1990-09-01,55.863
1990-10-01,55.863
1990-11-01,56.3796
1990-12-01,56.3796
1991-01-01,56.3796
1991-02-01,57.9198
1991-03-01,57.9198
1991-04-01,57.9198
1991-05-01,58.737
1991-06-01,58.737
1991-07-01,58.737
1991-08-01,59.1631
1991-09-01,59.1631
1991-10-01,59.1631
1991-11-01,59.5589
1991-12-01,59.5589
1992-01-01,59.5589
1992-02-01,60.8695
1992-03-01,60.8695
1992-04-01,60.8695
1992-05-01,61.739
1992-06-01,61.739
1992-07-01,61.739
1992-08-01,62.0733
1992-09-01,62.0733
1992-10-01,62.0733
1992-11-01,62.2165
1992-12-01,62.2165
1993-01-01,62.2165
1993-02-01,62.5169
1993-03-01,62.5169
1993-04-01,62.5169
1993-05-01,62.9259
1993-06-01,62.9259
1993-07-01,62.9259
1993-08-01,63.02
1993-09-01,63.02
1993-10-01,63.02
1993-11-01,63.1884
1993-12-01,63.1884
1994-01-01,63.1884
1994-02-01,63.5048
1994-03-01,63.5048
1994-04-01,63.5048
1994-05-01,63.7931
1994-06-01,63.7931
1994-07-01,63.7931
1994-08-01,64.0446
1994-09-01,64.0446
1994-10-01,64.0446
1994-11-01,64.5146
1994-12-01,64.5146
1995-01-01,64.5146
1995-02-01,68.9686
1995-03-01,68.9686
1995-04-01,68.9686
1995-05-01,69.1788
1995-06-01,69.1788
1995-07-01,69.1788
1995-08-01,69.2991
1995-09-01,69.2991
1995-10-01,69.2991
1995-11-01,69.4043
1995-12-01,69.4043
1996-01-01,69.4043
1996-02-01,69.5527
1996-03-01,69.5527
1996-04-01,69.5527
1996-05-01,69.6643
1996-06-01,69.6643
1996-07-01,69.6643
1996-08-01,69.6873
1996-09-01,69.6873
1996-10-01,69.6873
1996-11-01,69.7347
1996-12-01,69.7347
1997-01-01,69.7347
1997-02-01,69.7346
1997-03-01,69.7346
1997-04-01,69.7346
1997-05-01,69.763
1997-06-01,69.763
1997-07-01,69.763
1997-08-01,69.8156
1997-09-01,69.8156
1997-10-01,69.8156
1997-11-01,69.8506
1997-12-01,69.8506
1998-01-01,69.8506
1998-02-01,69.8796
1998-03-01,69.8796
1998-04-01,69.8796
1998-05-01,69.9645
1998-06-01,69.9645
1998-07-01,69.9645
1998-08-01,70.1891
1998-09-01,70.1891
1998-10-01,70.1891
1998-11-01,70.3126
1998-12-01,70.3126
1999-01-01,70.3126
1999-02-01,71.6506
1999-03-01,71.6506
1999-04-01,71.6506
1999-05-01,71.7876
1999-06-01,71.7876
1999-07-01,71.7876
1999-08-01,72.2386
1999-09-01,72.2386
1999-10-01,72.2386
1999-11-01,72.2734
1999-12-01,72.2734
2000-01-01,72.2734
2000-02-01,72.3972
2000-03-01,72.3972
2000-04-01,72.3972
2000-05-01,72.4174
2000-06-01,72.4174
2000-07-01,72.5376
2000-08-01,72.5376
2000-09-01,72.5376
2000-10-01,72.8823
2000-11-01,72.8823
2000-12-01,72.8823
2001-01-01,73.6265
2001-02-01,73.6265
2001-03-01,73.6265
2001-04-01,74.3052
2001-05-01,74.3052
2001-06-01,74.3052
2001-07-01,74.4829
2001-08-01,74.4829
2001-09-01,74.4829
2001-10-01,74.6872
2001-11-01,74.6872
2001-12-01,74.6872
2002-01-01,75.7009
2002-02-01,75.7009
2002-03-01,75.7009
2002-04-01,76.2122
2002-05-01,76.2122
2002-06-01,76.2122
2002-07-01,76.3558
2002-08-01,76.3558
2002-09-01,76.3558
2002-10-01,76.5397
2002-11-01,76.5397
2002-12-01,76.5397
2003-01-01,76.702
2003-02-01,76.702
2003-03-01,76.702
2003-04-01,77.0743
2003-05-01,77.0743
2003-06-01,77.0743
2003-07-01,77.1249
2003-08-01,77.1249
2003-09-01,77.1249
2003-10-01,77.1729
2003-11-01,77.1729
2003-12-01,77.1729
2004-01-01,77.5743
2004-02-01,77.5743
2004-03-01,77.5743
2004-04-01,77.896
2004-05-01,77.896
2004-06-01,77.896
2004-07-01,77.9892
2004-08-01,77.9892
2004-09-01,77.9892
2004-10-01,78.1738
2004-11-01,78.1738
2004-12-01,78.1738
2005-01-01,78.5694
2005-02-01,78.5694
2005-03-01,78.5694
2005-04-01,78.7786
2005-05-01,78.7786
2005-06-01,78.7786
2005-07-01,78.9579
2005-08-01,78.9579
2005-09-01,78.9579
2005-10-01,79.1364
2005-11-01,79.1364
2005-12-01,79.1364
2006-01-01,79.21
2006-02-01,79.21
2006-03-01,79.21
2006-04-01,79.5102
2006-05-01,79.5102
2006-06-01,79.5102
