time,value
1982-12-01,87.4558
1983-01-01,87.4558
1983-02-01,87.8513
1983-03-01,87.8513
1983-04-01,87.8513
1983-05-01,87.7436
1983-06-01,87.7436
1983-07-01,87.7436
1983-08-01,87.5758
1983-09-01,87.5758
1983-10-01,87.5758
1983-11-01,87.5568
1983-12-01,87.5568
1984-01-01,87.5568
1984-02-01,87.3969
1984-03-01,87.3969
1984-04-01,87.3969
1984-05-01,87.3868
1984-06-01,87.3868
1984-07-01,87.3868
1984-08-01,87.1759
1984-09-01,87.1759
1984-10-01,87.1759
1984-11-01,87.1731
1984-12-01,87.1731
1985-01-01,87.1731
1985-02-01,86.9938
1985-03-01,86.9938
1985-04-01,86.9938
1985-05-01,87.1511
1985-06-01,87.1511
1985-07-01,87.1511
1985-08-01,87.1445
1985-09-01,87.1445
1985-10-01,87.1445
1985-11-01,87.4042
1985-12-01,87.4042
1986-01-01,87.4042
1986-02-01,87.686
1986-03-01,87.686
1986-04-01,87.686
1986-05-01,87.7636
1986-06-01,87.7636
1986-07-01,87.7636
1986-08-01,87.8594
1986-09-01,87.8594
1986-10-01,87.8594
1986-11-01,88.0739
1986-12-01,88.0739
1987-01-01,88.0739
1987-02-01,88.4483
1987-03-01,88.4483
1987-04-01,88.4483
1987-05-01,88.4771
1987-06-01,88.4771
1987-07-01,88.4771
1987-08-01,88.4529
1987-09-01,88.4529
1987-10-01,88.4529
1987-11-01,88.5001
1987-12-01,88.5001
1988-01-01,88.5001
1988-02-01,88.5894
1988-03-01,88.5894
1988-04-01,88.5894
1988-05-01,88.5478
1988-06-01,88.5478
1988-07-01,88.5478
1988-08-01,88.5945
1988-09-01,88.5945
1988-10-01,88.5945
1988-11-01,88.976
1988-12-01,88.976
1989-01-01,88.976
1989-02-01,89.2239
1989-03-01,89.2239
1989-04-01,89.2239
1989-05-01,89.7312
1989-06-01,89.7312
1989-07-01,89.7312
1989-08-01,89.9379
1989-09-01,89.9379
1989-10-01,89.9379
1989-11-01,90.3324
1989-12-01,90.3324
1990-01-01,90.3324
1990-02-01,90.8102
1990-03-01,90.8102
1990-04-01,90.8102
1990-05-01,91.6241
1990-06-01,91.6241
1990-07-01,91.6241
1990-08-01,91.9064
1990-09-01,91.9064
1990-10-01,91.9064
1990-11-01,92.1399
1990-12-01,92.1399
1991-01-01,92.1399
1991-02-01,92.7208
1991-03-01,92.7208
1991-04-01,92.7208
1991-05-01,94.8523
1991-06-01,94.8523
1991-07-01,94.8523
1991-08-01,95.4918
1991-09-01,95.4918
1991-10-01,95.4918
1991-11-01,98.2149
1991-12-01,98.2149
1992-01-01,98.2149
1992-02-01,100.7815
1992-03-01,100.7815
1992-04-01,100.7815
1992-05-01,101.9868
1992-06-01,101.9868
1992-07-01,101.9868
1992-08-01,102.283
1992-09-01,102.283
1992-10-01,102.283
1992-11-01,101.832
1992-12-01,101.832
1993-01-01,101.832
1993-02-01,101.1912
1993-03-01,101.1912
1993-04-01,101.1912
1993-05-01,100.7577
1993-06-01,100.2554
1993-07-01,100.2554
1993-08-01,100.2554
1993-09-01,100.4454
1993-10-01,100.4454
1993-11-01,100.4454
1993-12-01,100.4728
1994-01-01,100.4728
1994-02-01,100.4728
1994-03-01,100.8063
1994-04-01,100.8063
1994-05-01,100.8063
1994-06-01,100.5298
1994-07-01,100.5298
1994-08-01,100.5298
1994-09-01,100.5389
1994-10-01,100.5389
1994-11-01,100.5389
1994-12-01,100.4914
1995-01-01,100.4914
1995-02-01,100.4914
1995-03-01,100.7024
1995-04-01,100.7024
1995-05-01,100.7024
1995-06-01,100.8739
1995-07-01,100.8739
1995-08-01,100.8739
1995-09-01,99.8793
1995-10-01,99.8793
1995-11-01,99.8793
1995-12-01,99.3239
1996-01-01,99.3239
1996-02-01,99.3239
1996-03-01,98.7988
1996-04-01,98.7988
1996-05-01,98.7988
1996-06-01,98.7303
1996-07-01,98.7303
1996-08-01,98.7303
1996-09-01,98.7297
1996-10-01,98.7297
1996-11-01,98.7297
1996-12-01,98.5792
1997-01-01,98.5792
1997-02-01,98.5792
1997-03-01,98.4519
1997-04-01,98.4519
1997-05-01,98.4519
1997-06-01,98.7059
1997-07-01,98.7059
1997-08-01,98.7059
1997-09-01,98.7747
1997-10-01,98.7747
1997-11-01,98.7747
1997-12-01,98.8741
1998-01-01,98.8741
1998-02-01,98.8741
1998-03-01,98.753
1998-04-01,98.753
1998-05-01,98.753
1998-06-01,99.78
1998-07-01,99.78
1998-08-01,99.78
1998-09-01,99.9438
1998-10-01,99.9438
1998-11-01,99.9438
1998-12-01,99.9692
1999-01-01,99.9692
1999-02-01,99.9692
1999-03-01,99.8023
1999-04-01,99.8023
