time,value
1982-12-01,61.3554
1983-01-01,61.3554
1983-02-01,61.3554
1983-03-01,61.5826
1983-04-01,61.5826
1983-05-01,61.5826
1983-06-01,61.4332
1983-07-01,61.4332
1983-08-01,61.4332
1983-09-01,62.4166
1983-10-01,62.4166
1983-11-01,62.4166
1983-12-01,62.8618
1984-01-01,62.8618
1984-02-01,62.8618
1984-03-01,63.0891
1984-04-01,63.0891
1984-05-01,63.0891
1984-06-01,63.0124
1984-07-01,63.0124
1984-08-01,63.0124
1984-09-01,64.1148
1984-10-01,64.1148
1984-11-01,64.1148
1984-12-01,64.0052
1985-01-01,64.0052
1985-02-01,64.0052
1985-03-01,68.696
1985-04-01,68.696
1985-05-01,68.696
1985-06-01,69.2321
1985-07-01,69.2321
1985-08-01,69.2321
1985-09-01,72.0498
1985-10-01,72.0498
1985-11-01,72.0498
1985-12-01,72.4507
1986-01-01,72.4507
1986-02-01,72.4507
1986-03-01,73.8472
1986-04-01,73.8472
1986-05-01,73.8472
1986-06-01,74.1671
1986-07-01,74.1671
1986-08-01,74.1671
1986-09-01,75.7378
1986-10-01,75.7378
1986-11-01,75.7378
1986-12-01,76.6415
1987-01-01,76.6415
1987-02-01,76.6415
1987-03-01,76.8354
1987-04-01,76.8354
1987-05-01,76.8354
1987-06-01,75.726
1987-07-01,75.726
1987-08-01,75.726
1987-09-01,76.3778
1987-10-01,76.3778
1987-11-01,76.3778
1987-12-01,77.2149
1988-01-01,77.2149
1988-02-01,77.2149
1988-03-01,77.3847
1988-04-01,77.3847
1988-05-01,77.3847
1988-06-01,77.5083
1988-07-01,77.5083
1988-08-01,77.5083
1988-09-01,77.9797
1988-10-01,77.9797
1988-11-01,77.9797
1988-12-01,77.3544
1989-01-01,77.3544
1989-02-01,77.3544
1989-03-01,77.9845
1989-04-01,77.9845
1989-05-01,77.9845
1989-06-01,78.6352
1989-07-01,78.6352
1989-08-01,78.6352
1989-09-01,82.9244
1989-10-01,82.9244
1989-11-01,82.9244
1989-12-01,82.2148
1990-01-01,82.2148
1990-02-01,82.2148
1990-03-01,83.0455
1990-04-01,83.0455
1990-05-01,83.0455
1990-06-01,83.1507
1990-07-01,83.1507
1990-08-01,83.1507
1990-09-01,85.2739
1990-10-01,85.2739
1990-11-01,85.2739
1990-12-01,85.879
1991-01-01,85.879
1991-02-01,85.879
1991-03-01,88.1402
1991-04-01,88.1402
1991-05-01,88.1402
1991-06-01,88.5671
1991-07-01,88.5671
1991-08-01,88.5671
1991-09-01,89.3639
1991-10-01,89.3639
1991-11-01,89.3639
1991-12-01,89.215
1992-01-01,89.215
1992-02-01,89.215
1992-03-01,88.0384
1992-04-01,88.0384
1992-05-01,88.0384
1992-06-01,90.3444
1992-07-01,90.3444
1992-08-01,90.3444
1992-09-01,92.289
1992-10-01,92.289
1992-11-01,92.289
1992-12-01,93.2438
1993-01-01,93.2438
1993-02-01,93.2438
1993-03-01,93.463
1993-04-01,93.463
1993-05-01,93.463
1993-06-01,93.463
1993-07-01,93.463
1993-08-01,93.463
1993-09-01,93.463
1993-10-01,93.463
1993-11-01,93.2186
1993-12-01,93.2186
1994-01-01,93.2186
1994-02-01,93.2186
1994-03-01,93.2186
1994-04-01,93.2186
1994-05-01,93.6388
1994-06-01,93.6388
1994-07-01,93.6388
1994-08-01,93.6388
1994-09-01,93.6388
1994-10-01,93.6388
1994-11-01,94.3593
1994-12-01,94.3593
1995-01-01,94.3593
1995-02-01,94.3593
1995-03-01,94.3593
1995-04-01,94.3593
1995-05-01,93.8907
1995-06-01,93.8907
1995-07-01,93.8907
1995-08-01,93.8907
1995-09-01,93.8907
1995-10-01,93.8907
1995-11-01,94.3346
1995-12-01,94.3346
1996-01-01,94.3346
1996-02-01,94.3346
1996-03-01,94.3346
1996-04-01,94.3346
1996-05-01,93.8765
1996-06-01,93.8765
1996-07-01,93.8765
1996-08-01,93.8765
1996-09-01,93.8765
1996-10-01,93.8765
1996-11-01,92.872
1996-12-01,92.872
1997-01-01,92.872
1997-02-01,92.872
1997-03-01,92.872
1997-04-01,92.872
1997-05-01,93.4567
1997-06-01,93.4567
1997-07-01,93.4567
1997-08-01,93.4567
1997-09-01,93.4567
1997-10-01,93.4567
1997-11-01,95.0333
1997-12-01,95.0333
1998-01-01,95.0333
1998-02-01,95.0333
1998-03-01,95.0333
1998-04-01,95.0333
1998-05-01,96.4228
1998-06-01,96.4228
1998-07-01,96.4228
1998-08-01,96.4228
1998-09-01,96.4228
1998-10-01,96.4228
1998-11-01,96.496
1998-12-01,96.496
1999-01-01,96.496
1999-02-01,96.496
1999-03-01,96.496
1999-04-01,96.496
1999-05-01,96.4057
1999-06-01,96.4057
1999-07-01,96.4057
1999-08-01,96.4057
1999-09-01,96.4057
1999-10-01,96.4057
1999-11-01,97.0165
1999-12-01,97.0165
2000-01-01,97.0165
2000-02-01,97.0165
2000-03-01,97.0165
2000-04-01,97.0165
2000-05-01,97.9127
2000-06-01,97.9127
2000-07-01,97.9127
2000-08-01,98.1179
2000-09-01,98.1179
2000-10-01,98.1179
2000-11-01,99.6583
2000-12-01,99.6583
2001-01-01,99.6583
2001-02-01,99.3462
2001-03-01,99.3462
2001-04-01,99.3462
2001-05-01,99.9004
2001-06-01,99.9004
2001-07-01,99.9004
2001-08-01,91.7606
2001-09-01,91.7606
2001-10-01,91.7606
2001-11-01,99.6426
2001-12-01,99.6426
2002-01-01,86.883
2002-02-01,86.883
2002-03-01,86.883
2002-04-01,100.1973
2002-05-01,100.1973
2002-06-01,100.1973
2002-07-01,73.9818
2002-08-01,73.9818
2002-09-01,73.9818
2002-10-01,99.1023
2002-11-01,99.1023
2002-12-01,99.1023
2003-01-01,77.8499
2003-02-01,77.8499
2003-03-01,77.8499
2003-04-01,104.0922
2003-05-01,104.0922
2003-06-01,104.0922
2003-07-01,81.1395
2003-08-01,81.1395
2003-09-01,81.1395
2003-10-01,107.6267
2003-11-01,107.6267
2003-12-01,107.6267
2004-01-01,86.2313
2004-02-01,86.2313
2004-03-01,86.2313
2004-04-01,105.3365
2004-05-01,105.3365
2004-06-01,105.3365
2004-07-01,84.1799
2004-08-01,84.1799
2004-09-01,84.1799
2004-10-01,106.0901
2004-11-01,106.0901
2004-12-01,106.0901
2005-01-01,86.0818
2005-02-01,86.0818
2005-03-01,86.0818
2005-04-01,106.7581
2005-05-01,106.7581
2005-06-01,106.7581
2005-07-01,71.4076
2005-08-01,71.4076
2005-09-01,71.4076
2005-10-01,104.3543
2005-11-01,104.3543
2005-12-01,104.3543
2006-01-01,76.4022
2006-02-01,76.4022
2006-03-01,76.4022
2006-04-01,106.208
2006-05-01,106.208
2006-06-01,106.208
2006-07-01,67.0418
2006-08-01,67.0418
2006-09-01,67.0418
2006-10-01,107.9061
2006-11-01,107.9061
2006-12-01,107.9061
2007-01-01,80.636
2007-02-01,80.636
2007-03-01,80.636
2007-04-01,103.7583
2007-05-01,103.7583
2007-06-01,103.7583
2007-07-01,78.2329
2007-08-01,78.2329
2007-09-01,78.2329
2007-10-01,104.9395
2007-11-01,104.9395
2007-12-01,104.9395
2008-01-01,79.073
2008-02-01,79.073
2008-03-01,79.073
2008-04-01,110.1498
2008-05-01,110.1498
2008-06-01,101.5805
2008-07-01,79.4248
2008-08-01,79.4248
2008-09-01,79.4248
2008-10-01,108.994
2008-11-01,108.994
2008-12-01,103.177
2009-01-01,82.0929
2009-02-01,82.0929
2009-03-01,82.0929
2009-04-01,110.5477
2009-05-01,110.5477
2009-06-01,99.6604
2009-07-01,79.3901
2009-08-01,79.3901
2009-09-01,79.3901
2009-10-01,110.0617
2009-11-01,110.0617
2009-12-01,103.7614
2010-01-01,79.8396
2010-02-01,79.8396
2010-03-01,79.8396
2010-04-01,108.514
2010-05-01,108.514
2010-06-01,100.8102
2010-07-01,88.1991
2010-08-01,88.1991
2010-09-01,88.1991
2010-10-01,109.9222
2010-11-01,109.9222
2010-12-01,110.5689
2011-01-01,84.1886
2011-02-01,90.8839
2011-03-01,110.9702
2011-04-01,112.8774
2011-05-01,109.1886
2011-06-01,101.7569
2011-07-01,75.6724
2011-08-01,82.0017
2011-09-01,97.2934
2011-10-01,98.8703
2011-11-01,100.8856
2011-12-01,94.6261
2012-01-01,82.6076
2012-02-01,87.7449
2012-03-01,100.8163
2012-04-01,106.915
2012-05-01,108.8472
2012-06-01,102.5721
2012-07-01,84.5194
2012-08-01,84.6067
2012-09-01,98.6857
2012-10-01,99.9639
2012-11-01,99.17
2012-12-01,97.5604
2013-01-01,85.7953
2013-02-01,90.2723
2013-03-01,96.2126
2013-04-01,103.3352
2013-05-01,100.6663
2013-06-01,101.1123
2013-07-01,87.2593
2013-08-01,80.4277
2013-09-01,88.0309
2013-10-01,89.1234
2013-11-01,89.289
2013-12-01,89.4103
2014-01-01,77.9205
2014-02-01,78.3156
2014-03-01,89.9824
2014-04-01,97.8504
2014-05-01,104.7349
2014-06-01,98.8271
2014-07-01,82.9843
2014-08-01,86.5831
2014-09-01,95.3237
2014-10-01,96.2904
2014-11-01,96.5773
2014-12-01,94.8628
2015-01-01,83.7006
2015-02-01,86.0975
2015-03-01,95.8074
2015-04-01,100.8465
2015-05-01,104.7285
2015-06-01,97.9018
2015-07-01,82.4675
2015-08-01,86.5352
2015-09-01,94.8595
2015-10-01,96.5596
2015-11-01,95.5087
2015-12-01,93.4075
2016-01-01,86.4564
2016-02-01,89.2791
2016-03-01,94.7612
2016-04-01,106.2555
2016-05-01,106.4343
2016-06-01,103.1154
2016-07-01,85.5405
2016-08-01,91.8214
2016-09-01,98.4254
2016-10-01,98.2463
2016-11-01,98.5579
2016-12-01,94.312
2017-01-01,85.4459
2017-02-01,93.3961
2017-03-01,98.8058
2017-04-01,106.9999
2017-05-01,106.0496
2017-06-01,103.067
2017-07-01,89.7469
2017-08-01,89.6748
2017-09-01,102.0408
2017-10-01,103.8256
2017-11-01,101.6975
2017-12-01,103.7292
2018-01-01,93.9936
2018-02-01,98.5417
2018-03-01,102.9731
2018-04-01,109.3971
2018-05-01,109.5808
2018-06-01,106.6471
2018-07-01,94.3961
2018-08-01,97.7419
2018-09-01,103.3618
2018-10-01,103.1249
2018-11-01,101.3319
2018-12-01,104.4686
2019-01-01,95.5046
2019-02-01,100.8655
2019-03-01,106.003
2019-04-01,108.104
2019-05-01,109.7827
2019-06-01,108.8356
2019-07-01,94.0749
2019-08-01,98.9261
2019-09-01,103.2821
2019-10-01,103.4102
2019-11-01,103.6026
2019-12-01,103.6597
2020-01-01,95.7209
2020-02-01,101.8851
2020-03-01,105.969
2020-04-01,113.0517
2020-05-01,112.4526
2020-06-01,108.6233
2020-07-01,98.0235
2020-08-01,103.2101
2020-09-01,107.5116
2020-10-01,107.8427
2020-11-01,107.7174
2020-12-01,107.5553
2021-01-01,97.7493
2021-02-01,102.8603
2021-03-01,107.7304
2021-04-01,115.581
2021-05-01,117.3687
2021-06-01,113.3303
2021-07-01,100.968
2021-08-01,103.317
2021-09-01,108.5092
2021-10-01,107.9107
2021-11-01,107.7501
2021-12-01,106.7906
2022-01-01,99.7665
2022-02-01,104.4345
2022-03-01,108.4665
2022-04-01,117.6458
2022-05-01,116.5318
2022-06-01,114.0415
2022-07-01,97.5541
2022-08-01,103.5438
2022-09-01,108.0036
2022-10-01,108.0924
2022-11-01,107.2575
2022-12-01,107.705
2023-01-01,96.2421
2023-02-01,103.8234
2023-03-01,108.9505
2023-04-01,118.5175
2023-05-01,118.475
2023-06-01,112.2894
2023-07-01,98.2932
2023-08-01,105.7018
2023-09-01,108.9185
2023-10-01,109.0521
2023-11-01,108.7137
2023-12-01,108.7353
2024-01-01,99.639
2024-02-01,104.5973
2024-03-01,107.9838
2024-04-01,114.5635
2024-05-01,113.1823
2024-06-01,107.9125
2024-07-01,92.0464
2024-08-01,100.2476
2024-09-01,105.0736
2024-10-01,105.2448
2024-11-01,103.8305
2024-12-01,103.2963
2025-01-01,93.0648
2025-02-01,100.4915
2025-03-01,103.3327
2025-04-01,111.3299
2025-05-01,110.9552
2025-06-01,105.8982
2025-07-01,92.5586
2025-08-01,103.2843
2025-09-01,103.6003
2025-10-01,103.0895
2025-11-01,103.3686
2025-12-01,100
2026-01-01,93.7315
