time,value
1982-12-01,53.8694
1983-01-01,53.7141
1983-02-01,53.1686
1983-03-01,52.5443
1983-04-01,53.0096
1983-05-01,53.4343
1983-06-01,53.3994
1983-07-01,53.8425
1983-08-01,53.8257
1983-09-01,53.753
1983-10-01,53.2984
1983-11-01,53.747
1983-12-01,53.9763
1984-01-01,54.1811
1984-02-01,53.7911
1984-03-01,53.6944
1984-04-01,53.7719
1984-05-01,53.8174
1984-06-01,54.1935
1984-07-01,54.2521
1984-08-01,54.2534
1984-09-01,54.2472
1984-10-01,54.8312
1984-11-01,54.666
1984-12-01,54.652
1985-01-01,55.0387
1985-02-01,55.4604
1985-03-01,56.478
1985-04-01,57.0091
1985-05-01,57.5562
1985-06-01,58.071
1985-07-01,58.0449
1985-08-01,56.7713
1985-09-01,56.391
1985-10-01,56.7488
1985-11-01,56.559
1985-12-01,56.0526
1986-01-01,55.5288
1986-02-01,53.6031
1986-03-01,52.3619
1986-04-01,52.0392
1986-05-01,51.972
1986-06-01,52.3419
1986-07-01,51.509
1986-08-01,50.7959
1986-09-01,51.8289
1986-10-01,51.3037
1986-11-01,50.6512
1986-12-01,50.6655
1987-01-01,51.621
1987-02-01,51.681
1987-03-01,51.4052
1987-04-01,52.022
1987-05-01,52.185
1987-06-01,52.174
1987-07-01,52.2449
1987-08-01,52.2412
1987-09-01,51.8561
1987-10-01,51.8442
1987-11-01,51.8168
1987-12-01,51.3545
1988-01-01,51.8208
1988-02-01,51.7914
1988-03-01,51.7182
1988-04-01,51.9096
1988-05-01,52.2806
1988-06-01,52.5764
1988-07-01,52.6978
1988-08-01,52.696
1988-09-01,52.6892
1988-10-01,52.5742
1988-11-01,52.4697
1988-12-01,52.7383
1989-01-01,54.0705
1989-02-01,54.5467
1989-03-01,54.6515
1989-04-01,56.8304
1989-05-01,57.81
1989-06-01,57.109
1989-07-01,56.4235
1989-08-01,55.9588
1989-09-01,56.285
1989-10-01,57.043
1989-11-01,56.204
1989-12-01,56.4331
1990-01-01,59.0135
1990-02-01,58.7738
1990-03-01,58.3447
1990-04-01,58.6303
1990-05-01,58.5572
1990-06-01,58.656
1990-07-01,58.9428
1990-08-01,59.9481
1990-09-01,62.2181
1990-10-01,63.2461
1990-11-01,61.6155
1990-12-01,60.1753
1991-01-01,62.1575
1991-02-01,62.0199
1991-03-01,61.8255
1991-04-01,62.6834
1991-05-01,63.1854
1991-06-01,63.1843
1991-07-01,63.4046
1991-08-01,63.1956
1991-09-01,63.5779
1991-10-01,63.5463
1991-11-01,63.5605
1991-12-01,63.1399
1992-01-01,64.5262
1992-02-01,64.7786
1992-03-01,64.7834
1992-04-01,65.0204
1992-05-01,65.5169
1992-06-01,65.7835
1992-07-01,65.3744
1992-08-01,65.0197
1992-09-01,64.7707
1992-10-01,64.9382
1992-11-01,65.0593
1992-12-01,64.9244
1993-01-01,66.0185
1993-02-01,66.1335
1993-03-01,68.1036
1993-04-01,71.6803
1993-05-01,71.7071
1993-06-01,71.6606
1993-07-01,71.6509
1993-08-01,71.6595
1993-09-01,71.3857
1993-10-01,70.9277
1993-11-01,71.0455
1993-12-01,70.8219
1994-01-01,70.9358
1994-02-01,70.8802
1994-03-01,70.8535
1994-04-01,71.2078
1994-05-01,71.7231
1994-06-01,71.9449
1994-07-01,72.0513
1994-08-01,72.2164
1994-09-01,72.0719
1994-10-01,71.0539
1994-11-01,71.4717
1994-12-01,71.4877
1995-01-01,71.4515
1995-02-01,71.6774
1995-03-01,71.5583
1995-04-01,72.0468
1995-05-01,72.1662
1995-06-01,72.709
